accomplishment,"n. 成就, 完成"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
edible,"n. 食品, 食物
a. 可食用的"
elliptical,"a. 椭圆的
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flora,"n. 植物群
"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
greeting,"n. 祝贺, 问候"
hardly,"adv. 刚刚, 几乎不, 勉强是"
instrument,"n. 工具, 手段, 仪器
"
lichen,"n. 青苔, 地衣, 苔藓病
"
likewise,"adv. 同样地, 也"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
mechanize,"vt. 使机械化, 用机械装置, 机动化
"
novice,"n. 新手, 初学者"
obedience,"n. 服从, 顺从, 忠实
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
outermost,"a. 最外面的, 最远离中心的"
parliament,"n. 国会, 议会
"
pheromone,[化] 性外激素; 信息激素
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
rarely,"adv. 很少地, 罕有地"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
seminar,"n. 研究班, 专题讨论会
"
sentimental,"a. 感伤的, 感情用事的"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
statistical,"a. 统计的, 统计上的, 统计学的
"
stature,"n. 身材, 身高, 高度
"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
suitcase,n. 手提箱
topographical,"a. 地形的, 地形学的, 地形测量的"
validity,"n. 有效性, 正确性
"
varied,"a. 不同的, 杂色的, 各式各样的
"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
ware,"n. 物品, 器具, 货物, 商品, 陶器
vt. 留心, 小心
a. 知道的, 意识到的, 留神的"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
adjustment,"n. 调整, 调节, 校正
"
appropriate,"a. 适当的
"
ascribe,"vt. 归因于, 归咎于
"
assign,"vt. 分配, 指派, 赋值
"
avert,"vt. 转开, 避免, 防止"
awful,"a. 可怕的, 庄严的, 虔敬的"
blend,"vt. 混合
n. 混合"
breakthrough,"n. 突破
"
canopy,"n. 天篷, 遮篷, 苍穹
vt. 用天蓬遮盖"
cascara,"n. 药鼠李
"
chafe,"n. 擦伤, 气恼
v. 摩擦, 擦痛, 激怒"
chromosome,"n. 染色体
"
classify,"vt. 分类, 归类, 分等
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
comparison,"n. 比较, 对照, 比喻
"
compatible,"a. 能共处的, 可并立的, 适合的
"
confidence,"n. 信心
"
consonant,"n. 辅音
a. 一致的, 调和的"
constitute,"vt. 构成, 组成, 任命
"
courier,"n. 送快信的人, 伴游服务员
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
deficient,"a. 不足的, 不充分的, 有缺陷的"
delicious,a. 美味的
devour,"vt. 吞食, 挥霍, 吞没"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
diagram,n. 图表；图解
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
eject,"vt. 逐放, 放逐, 喷射
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
furious,"a. 狂怒的, 激烈的, 吵闹的"
genial,"a. 和蔼的, 亲切的, 友善的
"
gentle,"a. 温和的, 文雅的"
govern,"v. 统治, 支配, 管理"
gymnasium,"n. 健身房, 体育馆
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
incessant,"a. 不断的, 不绝的, 无尽的"
inquire,"v. 询问, 问明, 查究"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
loathsome,"a. 讨厌的, 可恶的, 令人憎恶的"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
melodic,"a. 有旋律的, 旋律美妙的"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
musicologist,n. 音乐学者
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
nicotine,"n. 烟碱, 尼古丁
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
primordial,"a. 原始的, 自原始时代的
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
recline,"vt. 使斜靠
vi. 靠, 斜倚, 依赖"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
seismic,a. 地震的
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
slightly,"adv. 些微地, 苗条地"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
symbolic,"a. 象征的, 符号的
"
synonym,n. 同义词
tavern,"n. 酒馆, 客栈"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transportation,"n. 运输, 输送, 交通车辆
"
utterly,"adv. 完全地, 全然, 绝对"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
yeast,"n. 酵母
"
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accuracy,"n. 精确, 正确
"
adapt,"vt. 使适应, 改编
vi. 适应"
aloft,"adv. 在高处, 在上"
attain,"vt. 达到, 获得
vi. 达到"
attention,"n. 注意, 注意力
"
backhand,"n. 手背拍, 反手抽击, 左斜手写体
v. 反手抽击"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
besides,"prep. 除...之外
adv. 而且, 此外"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
category,"n. 种类, 类项
"
compensate,"v. 偿还, 补偿, 付报酬"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
conclusive,"a. 决定性的, 确定性的, 最后的
"
cooperative,a. 合作的；合作社的
cube,"n. 立方体, 立方
"
dawn,"n. 破晓, 黎明
vi. 破晓"
debt,"n. 债务, 罪过
"
describe,"vt. 描述, 描绘, 画"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
destination,"n. 目的地, 目标, 目的
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
endow,"vt. 捐赠, 捐助, 赋予
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
fumigate,"vt. 熏制
"
gentility,"n. 出身高贵, 绅士们, 上流阶层, 斯文, 有教养, 彬彬有礼, 文雅, 装体面, 假斯文"
grasshopper,"n. 蚱蜢, 蝗虫"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
implication,"n. 牵连, 含义, 暗示
"
inhabit,"vt. 居住于, 占据, 栖息"
insect,"n. 昆虫, 卑鄙的人
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interval,"n. 间隔, 距离, 间歇, 间隙
"
irritable,"a. 易怒的, 急躁的
"
landing,"n. 登陆, 码头, 降落
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
microprocessor,"n. 微处理器
"
morale,"n. 士气, 道德"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
oversleep,v. (使)睡过头
oxide,"n. 氧化物
"
patriot,"n. 爱国者, 爱国主义者"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
planetary,"a. 行星的, 流浪的, 迁移不定的, 地球上的, 现世的"
platitude,"n. 单调, 平凡, 陈腐, 陈词滥调"
propensity,"n. 倾向, 爱好, 习性"
prosperity,"n. 繁荣, 茂盛, 成功
"
prototype,"n. 原型
"
publication,"n. 出版物, 出版, 公布
"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
refrigerate,"vt. 使冷却, 使清凉, 冷藏
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
restricted,"a. 受限制的, 有限的"
revenue,"n. 收入, 岁入, 税收, 税务局
"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
shortly,"adv. 不久, 简短, 唐突地"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
staggering,"a. 蹒跚的, 巨大的, 惊人的
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transparent,"a. 透明的, 显然的, 清晰的
"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
vertebrate,"n. 脊椎动物
a. 有椎骨的, 有脊椎的"
allay,"vt. 使平静, 使缓和"
aluminum,"n. 铝
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
assortment,"n. 分类, 各种各样
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
automobile,"n. 汽车
"
beaver,"n. 海狸(毛皮)
"
blizzard,"n. 大风雪, 暴风雪"
blues,"n. 勃鲁斯乐曲, (非正式)伤感的, 伤心的
"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
by-product, 副产品，副产物
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
chapel,"n. 小教堂, 礼拜式"
comedy,"n. 喜剧, 有趣的事情"
completion,"n. 完成
"
coral,"n. 珊瑚, 珊瑚色
"
declare,"v. 宣布, 声明, 申报, 断言"
demobilize,"vt. 使复员, 使退伍, 遣散"
devoid,"a. 全无的, 缺乏的"
dilemma,"n. 困境, (进退两难的)窘境"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
elevate,"vt. 举起, 提拔, 鼓舞"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
encase,"vt. 把...装入箱内, 包住"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
epoch,"n. 新纪元, 时代, 时期"
essence,"n. 实质, 本质, 香精
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
generate,"vt. 产生, 发生, 导致
"
glamorous,"a. 富有魅力的, 迷人的"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
hinder,"a. 后面的
v. 阻碍, 打扰"
immediate,"a. 立即的, 直接的, 接近的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
insulation,"n. 绝缘；隔离, 孤立"
intrusion,"n. 闯入, 侵扰
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
kerosene,"n. 煤油, 火油, 灯油
"
lava,"n. 熔岩, 火山岩
"
limitation,"n. 限制, 缺陷, 限额
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
mannerism,"n. 矫揉造作, 习性
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
migrate,"vi. 移动, 移往, 随季节而移居
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
output,"n. 输出, 产品, 产量
"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
photosynthesis,"n. 光合作用
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
proliferation,"n. 增殖, 激增
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
questionnaire,"n. 调查表, 问卷
"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
rival,"n. 对手, 竞争者
a. 竞争的"
rotation,"n. 旋转, 循环, 轮流
"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
scavenger,"n. (英)清道夫, 清扫工, 拾垃圾的人, 清除剂, 净化剂, 食腐动物, 黄色作家
"
soybean,"n. 大豆
"
spaghetti,n. 意大利面条
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
tract,"n. 大片土地, 地带, 小册子
"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
uniformity,"n. 无差异, 同样, 划一, 一致
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
altitude,"n. 高度, 海拔, 高处
"
arrange,"v. 安排, 排列, 达成协议
"
backup,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
boulder,"n. 大圆石
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
cashier,"n. 出纳员
"
centigrade,"a. 百分度的, 摄氏的
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
cipher,"n. 零, 暗号, 密码, 无用的东西, 阿拉伯数字
v. 计算, 做算术"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
clump,"n. 丛, 块, 笨重的脚步声
"
concede,"vt. 承认, 退让
vi. 让步"
conservationist,n. 自然资源保护论者
conservative,"a. 保守的, 守旧的, 有保存力的
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
deform,"vt. 使残缺, 使变形
vi. 变形"
degree,"n. 程度, 度数, 学位, 度
"
distribution,"n. 分配
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
drought,"n. 干旱, 缺乏"
economic,"a. 经济上的, 实用的, 节省的
"
ecosystem,"n. 生态系统
"
engineering,"n. 工程学, 工程, 操纵
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
evaluate,"vt. 评估, 评价, 赋值"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
exert,"vt. 发挥, 运用, 施以影响
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
facet,"n. (多面体的)面, 方面, 琢面
"
falcon,"n. 隼, 猎鹰"
fiction,"n. 小说, 虚构故事
"
fray,"n. 磨损, 打架, 争论
vt. 使磨损
vi. 被磨损"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
incredible,a. 难以置信的
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
instead,"adv. 作为替代, 反而"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
larynx,"n. 喉头
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanics,"n. 机械学, 结构, 力学
"
mercantile,"a. 商业的, 商人的
"
mercury,"n. 水银, 汞, 使者
"
opal,"n. 蛋白石, 猫眼石
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
plankton,"n. (总称)浮游生物
"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
pollutant,"n. 污染物质
"
procedure,"n. 程序, 过程, 手续
"
profession,"n. 职业, 表白, 声明
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
reef,"n. 暗礁, 礁, 缩帆
v. 缩(帆)"
respective,"a. 分别的, 各自的"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
shrivel,"v. (使)起皱纹, (使)枯萎, (使)束手无策"
sinuous,"a. 弯弯曲曲的, 迂回的, 运动柔软的
"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
willful,"a. 任性的, 故意的, 有意的"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
apprenticeship,"n. 学徒身分, 见习(期)
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
beak,"n. 鸟嘴, 喙
"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
bronze,"n. 青铜, 铜像
a. 青铜色的"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
cartilage,"n. 软骨
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
clipper,"n. 大剪刀
"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
congratulation,"n. 祝贺, 恭喜"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
considering,"prep. 就...而论
conj. 考虑到"
decipher,"vt. 译解, 解释
n. 密电译文"
detective,"n. 侦探
a. 侦探的"
downside,n. 底侧；下降趋势
