intellect,"n. 智力, 出众的才华, 知识分子
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
architect,"n. 建筑师, 设计者, 缔造者"
presuppose,"vt. 预先假定, 预料, 以...为先决条件"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
throne,"n. 王座, 君主"
traveller,"n. 旅行者
"
unpopular,"a. 不得人心的, 不受欢迎的, 不流行的"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
elite,"n. 精华, 精锐, 中坚分子"
farther,"a. 更远的, 进一步的
adv. 更远的, 此外, far的比较级"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
opera,n. 歌剧
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
subsequent,"a. 后来的, 接下去的
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
carve,"v. 雕刻, 切开"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
courage,"n. 勇气, 胆量"
decide,"v. 决定, 判决"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
newsprint,"n. 新闻纸
"
operate,"v. 操作, 运转, 动手术, 活动"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
react,"vi. 起反应, 起作用, 反攻
"
science,"n. 科学, 学科, 学问, 自然科学
"
subtitle,n. 副标题
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
victory,"n. 胜利, 战胜, 克服"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
elude,"vt. 逃避, 规避, 把...难倒"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
learn,vt. 学习；认识到；得知
marketplace,n. 市场
newsstand,"n. 报摊, 报刊出售处"
opportunity,"n. 机会, 时机"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
success,"n. 成功, 成就, 胜利"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
well-connected, 有优越的社会关系的
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
e-commerce, [计]电子商务
headhunter,"n. (原始社会中)猎取人头者, 物色人才的人"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
terror,"n. 恐怖, 可怕的人
"
viewpoint,n. 观点
well-educated,"adj. 受过良好教育的
"
amid,"prep. 在其间, 在其中
"
ban,"n. 禁令
vt. 禁止, 取缔"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
coding,"n. 译码
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
equation,"n. 相等, 等式, 平衡
"
falsely,"adv. 虚伪地, 错误地, 不实地"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
hindrance,"n. 妨害, 障碍, 阻碍物"
incite,"vt. 刺激, 激励, 引诱
"
lawyer,"n. 律师
"
million,"n. 百万, 无数
num. 百万"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
opinion,"n. 意见, 评价, 主张
"
painlessly,"adv. 无痛苦地, 不费力地"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
ember,"n. 灰烬, 余烬"
fate,"n. 命运, 运气
vt. 注定"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
imply,"vt. 暗示, 意味
"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
superb,"a. 极度的, 华丽的, 极好的"
superhigh,a. 超高的
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
vigor,"n. 精力, 活力"
vigour,"n. 精力, 活力, 力量, 效力, 气势"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
cricket,"n. 蟋蟀, 板球"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crisis,"n. 危机, 危险期, 紧要关头
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
option,"n. 选择权, 挑选, 选项
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superstar,n. 超级明星
superstition,"n. 迷信
"
testify,"v. 证明, 作证, 声明, 表明"
undoubtedly,"adv. 无疑, 必定, 确实地"
well-meaning," 出于好心的, 好心好意的, 善意的（但常事与愿违）"
bench,"n. 长椅子
"
decrease,"n. 减少, 减少量
v. 减少"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
category,"n. 种类, 类项
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
eminent,"a. 显赫的, 杰出的, 有名的"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
pastime,"n. 消遣, 娱乐, 游戏"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
accessibility,"n. 易接近, 可进入
"
annoy,"vt. 使恼怒, 骚扰"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
capitalism,"n. 资本主义
"
consulting,"a. 商议的, 咨询的, 任专职顾问的"
criteria,"pl. 标准
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
email,n. 电子信函
era,"n. 时代, 纪元, 时期"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
granny,"n. 奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆"
hint,"n. 暗示, 提示
v. 暗示, 示意"
investigation,"n. 调查, 审查
"
laziness,"n. 怠惰, 无精打采"
commodity,"n. 农产品, 商品, 有用的物品
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
mind-set,n. 心态；倾向；习惯；精神状态
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
majestic,"a. 宏伟的, 庄严的"
nobility,"n. 贵族, 高尚, 贵族阶级"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
probably,"adv. 大概, 或许"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
runway,"n. 跑道, 河床, 过道
"
self-esteem, 自尊
socially,"adv. 在社会上, 在社交上, 以社会生活方式"
sticker,"n. 屠夫, 尖刀, 刺, 芒, 尖物, 携带尖刀者, 张贴物, 滞销品, (非正式)难题
"
symbolic,"a. 象征的, 符号的
"
time-consuming,adj. 耗费时间的，旷日持久的
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
unreasonable,"a. 不合理的, 过度的, 不切实际的
"
voluntarily,"adv. 自愿地, 以自由意志"
whopping,"a. 巨大的, 天大的
adv. 非常地"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
cate,"n. 佳肴, 美食"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
emotion,"n. 情绪, 激动, 强烈的情感
"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
noisy,"a. 嘈杂的, 喧闹的
"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
unfairness,"[法] 不公平, 不公正, 不正当"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
beside,prep. 在旁边
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
height,"n. 高度, 海拔, 高地, 顶点
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
masterpiece,"n. 杰作, 名著"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
patchwork,"n. 拼缝物, 拼凑物"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surgeon,"n. 外科医生, 军医, 船医
"
surpass,"vt. 超越, 凌驾, 胜过"
unfashionable,"a. 不流行的, 不时髦的, 过时的"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
bestseller,n. 畅销书
caution,"n. 小心, 慎重, 警示
vt. 警告
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
feeble,"a. 微弱的, 衰弱的, 无效的
"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
unfavourable,"a. 不适宜的, 不适应的, 不顺利的, 不好的, 相反的, 不同意的, 令人不快的"
virtuoso,n. 艺术品鉴赏家
curious,"a. 好奇的, 求知的, 古怪的"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
deem,"v. 认为, 相信"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
herb,"n. 药草, 香草
"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
theme,"n. 主题, 话题, 题目"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
unfocused,a. 不聚成焦点的
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
celebrate,"v. 庆祝, 祝贺, 举行"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
inborn,a. 天生的；先天的
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
pathway,"n. 路径, 途径
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
swab,"n. 拖把, 药签
vt. 擦洗, 拭抹"
theology,n. 神学
unfolding,[化] 解折叠; 开折; 伸展
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
anxious,"a. 忧虑的, 发愁的, 渴望的"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
bandwidth,"n. 频带宽度, 通带宽度
"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
carry-on,"继续开展, 行为愚蠢(或越轨)
"
cultural,"a. 文化的, 教养的, 修养的
"
divert,"vt. 转移, 使欢娱
vi. 转移"
embarrassed,a. 尴尬的；窘迫的
erase,"vt. 抹去, 擦掉
"
fantasize,"vt.vi. 想象, 出现幻想, 产生幻想, 使幻想化, 幻想"
grassland,"n. 牧草地, 草原"
holiness,"n. 神圣；圣座（大写, 对教宗等的尊称）"
instinctive,"a. 本能的, 天生的, 直觉的
"
investigator,"n. 调查者, 审查者
"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
minimal,"a. 最小的, 极微的, 最小限度的
"
oppressive,"a. 压制性的, 压迫的, 沉重的"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
reader,"n. 读者, 读物, 文选, 校对人, 讲师
"
remodel,"vt. 改造, 改型, 改变"
rural,"a. 乡下的, 田园的, 乡村风味的
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
society,n. 社会；社交界；交往；社团
storehouse,"n. 仓库, 储藏所, 宝库
"
time-limited, [医]时间限制，时限
tuition,"n. 学费, 讲授"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
customer,"n. 消费者
"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
good-natured,"和善的,仁慈的,好性情的"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
mathematics,"n. 数学
"
origin,"n. 起源, 起因, 出身, 开端
"
reconsider,"v. 再考虑, 重新考虑"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
congress,"n. 国会, 会议, 讨论会
"
bilingual,a. 双语的
census,"n. 户口普查
vt. 实施统计调查"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
encourage,"vt. 鼓励, 支持, 激励
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
reconstruct,"vt. 重建, 改造
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
therapy,"n. 治疗
"
unfortunately,"adv. 恐怕, 不幸的是"
fever,"n. 发烧, 发热, 热病
"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
hijack,"vt. 抢劫, 劫持, 敲诈
"
meaningless,a. 无意义的
ought,"aux. 应该, 大概
n. 责任"
seem,"vi. 象是, 似乎"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
thermostat,"n. 自动调温器, 温度自动启闭装置
"
unimaginable,"a. 不能想象的, 不可思议的"
unionist,"n. 工会会员, 工联主义者
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
adjoining,"a. 邻接的, 毗连的
"
certain,"a. 确定的, 某一个的, 必然的
"
govern,"v. 统治, 支配, 管理"
hinder,"a. 后面的
v. 阻碍, 打扰"
liberty,"n. 自由, 特权, 许可, 冒失
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
seething,"a. 沸腾的, 火热的"
uninformed,"a. 没有得到通知的, 未被告知的, 无知的, 不学无术的, 未受教育的, 蒙昧的
"
wilful,"a. 任性的, 固执的, 故意的, 存心的
"
willful,"a. 任性的, 故意的, 有意的"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
fiction,"n. 小说, 虚构故事
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
