identical,"a. 同一的, 恒等的, 完全相同的
"
anaesthesia,"n. 麻木, 麻醉
"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
anaesthetic,"n. 麻醉剂, 麻药
a. 麻木的, 麻醉的"
anesthetize,"vt. 使麻木, 使麻醉
"
anaesthetize,"vt. 使麻木, 使麻醉"
angel,"n. 天使, 守护神, 善人"
evangelical,"a. 福音派教会的
n. 福音派信徒"
evangelist,"n. 福音传道者, 圣经新约福音书的作者"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
animation,"n. 活泼, 生气, 激励, 卡通制作
"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
"
annoy,"vt. 使恼怒, 骚扰"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
anal,"a. 肛门的, 肛门附近的
"
anus,"n. 肛门
"
appropriate,"a. 适当的
"
appropriate,"a. 适当的
"
inappropriate,"a. 不适当的, 不相称的"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approval,"n. 赞成, 批准
"
disapprove,v. 不赞成
disapproval,n. 不赞成
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
arc,"n. 弧, 弧形, 弓形, 弧光
"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
archer,"n. 弓箭手, 射箭运动员"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
armament,"n. 军备, 军队, 武器
"
rearmament,"n. 重整军备, 改良装备"
armada,n. 舰队
armoury,"n. 军械库, 兵工厂"
aroma,"n. 浓香, 香气
"
aromatic,"a. 芬芳的
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
arrogant,"a. 自大的, 傲慢的"
arrogance,"n. 傲慢态度, 自大"
assail,"vt. 攻击, 质问
"
assailant,"n. 攻击者
"
assessment,"n. 评估, 估定, 评定的款额
"
reassessment,[经] 重新估价
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
disassociate,v. (使)分离
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
reassure,"vt. 使...安心, 向...再保证
"
atrocious,"a. 残暴的, 凶恶的"
atrocity,"n. 残暴, 凶恶, 暴行
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
attentive,"a. 注意的, 留心的"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
audition,"n. 听, 听力, 试听
"
austere,"a. 严峻的, 禁欲的, 简朴的"
austerity,"n. 朴素, 苦行, 严格, 严峻"
avenge,"vt. 为...报复, 报仇"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
awe,"n. 敬畏
vt. 使敬畏"
awesome,"a. 引起敬畏的, 可怕的"
badge,"n. 徽章, 标记
"
badger,"n. 獾, 獾皮毛
vt. 纠缠"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
balm,"n. 镇痛软膏, 香膏
"
balmy,"a. 芳香的, 温和的, 止痛的
"
ban,"n. 禁令
vt. 禁止, 取缔"
banal,"a. 平凡的, 陈腐的"
banish,"vt. 驱逐, 消除
"
baptize,"vt. 施洗礼, 使经受考验, 命名"
baptism,"n. 浸礼, 洗礼"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
"
forbear,"v. 忍耐, 克制, 容忍
n. 祖先"
beast,"n. 畜生, 动物, 野兽, 兽性"
beastly,"a. 野兽的, 残忍的, 令人厌憎的"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
behavioral,a. 行为的
behavioural,a. 行为的
misbehavior,"n. 不正当的举止, 不规矩的行为
"
misbehaviour,"n. 行为无礼貌, 行为不端"
bequeath,"vt. 遗赠, 遗留
"
bequest,"n. 遗赠物, 遗产, 遗赠
"
bless,"vt. 祝福, 祈佑, 使神圣化"
blessed,"a. 神圣的, 受祝福的
bless的过去式和过去分词"
blessing,n. 祝福
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
blockade,"n. 阻塞
vt. 封锁"
bog,"n. 沼泽
vt. 使陷于泥沼
vi. 陷于泥沼"
boggle,"vi. 犹豫, 踌躇, 吃惊, 搪塞
vt. 搞坏
n. 犹豫, 吃惊"
bold,"a. 大胆的
n. 粗体
"
boldness,"n. 大胆, 勇敢, 冒失
"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
bounty,"n. 慷慨, 宽大, 礼物
"
bountiful,"a. 慷慨的, 宽大的"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
bravado,n. 虚张声势
bride,n. 新娘
bridal,"a. 新娘的, 婚礼的"
broker,"n. 掮客, 经纪人
"
brokerage,"n. 经纪人, 回扣, 佣金, 中间人业务
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
browser,"n. 吃嫩叶的动物, 浏览书本的人
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
debug,"vt. 除错, 改正有毛病部分, 除去窃听器, 调试
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bulky,"a. 庞大的
"
bunk,"n. 铺位, 废话, 逃走
vi. 逃跑, 睡在铺上
vt. 提供铺位"
bunker,"n. 煤仓, 沙坑, 暗堡
vt. 击入沙坑, 使陷入困境"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
buoyancy,"n. 浮力, 弹性, 快活, 轻快, (股票市场)保持高价
"
bush,"n. 矮树丛
"
bushy,"a. 灌木一样的, 灌木茂密的, 浓密的"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
canny,"a. 精明的, 谨慎的, 节约的"
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
canvas,"n. 帆布, 画布, 油画
"
canvass,"n. 细查, 讨论, 游说
vt. 彻底检查, 向...拉票或拉生意, 讨论
vi. 游说"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
incapable,"a. 无能力的, 不能的
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
casualty,"n. 意外事故, 伤亡, 受害者
"
categorize,"vt. 分类, 归类"
categorical,"a. 范畴的, 绝对的, 明确的"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
cavity,"n. 洞, 空穴, 腔
"
excavate,"v. 挖空, 挖出, 凿通"
cease,"n. 停止
v. 停止, 终了"
deceased,"a. 已故的
n. 死者"
celebrate,"v. 庆祝, 祝贺, 举行"
celebrated,"a. 驰名的, 有名的"
celebrity,"n. 名声, 名人"
celebration,"n. 庆祝, 庆典"
ceremony,"n. 典礼, 仪式, 礼节
"
ceremonial,"n. 仪式
a. 正式的"
ceremonious,"a. 讲究仪式的, 隆重的"
unceremonious,"a. 不拘礼节的, 随便的, 无礼貌的"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
charming,"a. 迷人的, 有吸引力的"
chaste,"a. 贞洁的, 纯洁的, 朴素的"
chastity,"n. 纯洁, 贞操
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
chiefly,adv. 主要地
chieftain,"n. 酋长, 首领"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
choral,a. 合唱队的
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
microchip,"n. 微型集成电路片, 微片, 芯片
"
Christ,"n. 基督, 救世主"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
Christianity,"n. 基督教, 基督教精神"
chrome,"n. 铬, 铬合金
"
chromosome,"n. 染色体
"
X-chromosome,n. [生]X染色体(性染色体的一种)
civil,"a. 市民的, 公民的, 有礼貌的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civic,"a. 市的, 市民的, 公民的
"
classify,"vt. 分类, 归类, 分等
"
classification,"n. 分类, 分级
"
classified,"a. 分类的, 被归入某类的, 被指定为机密的
"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
cleavage,"n. 劈开, 裂片, 分裂
"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
climactic,"a. 顶点的, 高潮的"
coal,"n. 煤, 木炭
v. 加煤"
charcoal,"n. 木炭
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
decode,"vt. 解码, 译解
"
coerce,"vt. 强制, 强迫"
coercion,"n. 强迫, 威压, 高压统治
"
colossal,"a. 巨大的, 巨像似的"
colossus,"n. 巨像, 巨人"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
combination,"n. 组合, 合并, 联合
"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
complimentary,"a. 问候的, 称赞的, 夸奖的"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
concerto,n. 协奏曲
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
confirmation,"n. 证实, 证明, 批准, 确认
"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
congruence,"n. 适合, 一致, 和谐"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conqueror,"n. 征服者, 胜利者"
conquest,"n. 战胜, 征服, 战利品
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
self-contained, [体]自给的
container,"n. 容器, 集装箱
"
containerization,"n. 集装箱化
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
contented,"a. 满足的, 心安的"
discontent,n. 不满
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
continual,"a. 持续不断的, 继续的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
courteous,"a. 彬彬有礼, 谦恭的"
courtesy,"n. 礼貌, 谦恭, 好意
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
crazy,"a. 发狂的, 狂热的"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
cremate,"vt. 烧成灰, 火葬"
crematorium,"n. 焚尸炉, 火葬场
a. 火葬的"
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
crooked,"a. 弯曲的, 歪的, 邪恶的"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
decry,"vt. 反对, 责难, 诽谤, 诋毁"
crypt,"n. 土窖, 地穴, 地下室
"
cryptic,"a. 神秘的, 含义模糊的, 隐藏的
"
cultivate,"vt. 培养, 耕作"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
cultivation,"n. 教化, 培养, 耕作
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
cultural,"a. 文化的, 教养的, 修养的
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
cursed,a. 被诅咒的
cynic,"n. 犬儒学派的人, 玩世不恭的人, 愤世嫉俗者, 好挖苦人的人
a. 犬儒学派的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
cynicism,n. 犬儒主义
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
damper,"n. 令人扫兴的人, 增湿器, 阻尼器
"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
daring,a. 大胆的
daunt,"vt. 威吓, 难倒, 使气馁"
dauntless,"a. 不屈不挠的, 大胆的"
decision,"n. 决定, 决心, 决断
"
indecision,"n. 优柔寡断
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
defiance,"n. 蔑视, 挑战
"
defiant,"a. 挑衅的, 目中无人的"
delete,"vt. 删除
"
indelible,"a. 难以消除的, 不能拭除的, 难忘的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
delinquency,"n. 行为不良, 失职
"
demonstrate,"vt. 示范, 证明
vi. 示威"
demonstration,"n. 示范, 实证
"
demo,"n. 演示, 样本唱片
"
demonstrative,"a. 说明的, 指示的"
demonstrable,a. 可论证的
denounce,"vt. 告发, 抨击, 谴责
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
dense,"a. 密集的, 浓厚的"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
densely,"adv. 浓密地, 浓厚地"
density,"n. 密度
"
depth,"n. 深度, 深处, 深奥
"
in-depth,"na. 广泛
"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desirable,"a. 令人想望的, 可取的"
desirability,"n. 值得想望, 可取
"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
desirous,"a. 想要的, 想望的, 渴望的"
despot,"n. 专制君主, 暴君
"
despotism,"n. 独裁, 专制, 专制政治
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dictator,"n. 命令者, 独裁者"
dictatorship,"n. 独裁者之职位, 独裁, 独裁政权
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
dietary,"a. 饮食的
n. 规定食物"
dietician,"n. 饮食学家, 营养学家
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
digit,"n. 数字, 位数, 指头
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
dipper,"n. 显影液槽, 浸礼会教友, 浸染工, 北斗七星
"
dope,"n. 吸毒者, 笨蛋, 麻醉药物, 粘稠物
vt. 麻痹, 上涂料, 预测出
vi. 吸毒"
distil,"vt.vi. 蒸馏, 提取...的精华, 用蒸馏法提取
vi. 滴下, 渗出"
distill,"vt. 蒸馏
vi. 滴下"
distillation,"n. 蒸馏
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
dividend,"n. 被除数, 股利
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
divinity,"n. 神, 神性"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
doomed,a. 注定的；命定的
doomsday,n. 世界末日
dote,"vi. 昏聩, 溺爱"
doting,"a. 偏爱的, 溺爱的"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
undoubted,"a. 无疑的, 确实的
"
dubious,"a. 可疑的, 不确定的"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
draughty,a. 通风的
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drainage,"n. 排水
"
drama,"n. 戏剧, 戏剧艺术"
dramatic,"a. 戏剧性的, 生动的"
dramatist,n. 剧作家
dramatize,"vt. 改编成戏剧, 编写剧本
vi. 戏剧化"
drape,"n. 布帘, 褶皱
vt. 用布帘覆盖, 披上
vi. 成褶皱状"
drapery,"n. 帏帐, 布料"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
drawl,"v. 慢吞吞地说, 故意拉长调子讲话
n. 慢吞吞拉长调子的说话方式"
redraw,"vt. 重画
vi. 刷新屏幕
"
drunk,"a. 喝醉了的
drink的过去式"
drunken,a. 酒醉的
drunkard,"n. 酒鬼
"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
dryer,"n. 干衣机, 干燥剂
"
drought,"n. 干旱, 缺乏"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
undue,"a. 不适当的, 过度的, 未到期的
"
unduly,"adv. 不适当地, 过度地
"
duke,n. 公爵
duchess,n. 公爵夫人
duchy,"n. 公爵领地, 公国, 直辖领地"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
dusky,"a. 微暗的, 暗淡的, 暗黑色的, 多黑影的, 黑黝黝的, 微黑色的, 忧郁的"
dwell,"vi. 居住, 居住(于), 存在(于)"
dweller,n. 居民
dwelling,"n. 住处
"
eager,"a. 热心的, 渴望的, 热望的"
eagerness,n. 热心
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
edgy,"a. 刀口锐利的, 尖利的, 急躁的"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
ego,"n. 自我
"
egoism,"n. 自我主义, 利己主义"
egoist,"n. 自我主义者, 利己主义者"
egotism,"n. 自我中心癖, 自负
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elasticity,"n. 弹力, 弹性
"
element,"n. 元件, 元素, 要素
"
elementary,"a. 初步的, 基本的
"
ellipse,"n. 椭圆, 椭圆形
"
elliptical,"a. 椭圆的
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
disembark,"v. (使)上岸, (使)登陆"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
self-employed, 自营；个体经营的
unemployed,"a. 失业的, 未被利用的
"
employment,"n. 雇用, 职业, 工作
"
unemployment,"n. 失业, 失业人数
"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
enmity,"n. 敌意, 憎恨"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engaged,"a. 忙碌的, 使用中的"
engagement,"n. 诺言, 约会, 婚约, 交战
"
enigma,"n. 谜, 费解的事物"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
enormous,"a. 巨大的, 庞大的"
enormity,"n. 暴行, 极恶, 巨大
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
entertaining,"a. 使人愉快的, 有趣的"
enthusiasm,"n. 巨大的热情, 热心"
enthusiast,"n. 热心家, 狂热者, 爱好者"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
eraser,n. 擦子
erase,"vt. 抹去, 擦掉
"
erasure,"n. 擦除, 抹掉
"
abrasive,"n. 研磨料
a. 有研磨作用的"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
essayist,"n. 随笔作家, 评论家"
estimable,"a. 可尊敬的, 可估计的"
inestimable,"a. 无价的, 无法估计的"
ethic,"n. 道德规范, 伦理"
ethics,"n. 道德规范
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
unethical,a. 不道德的
euphemism,"n. 委婉说法, 委婉语"
euphemistic,a. 委婉的
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evasive,"a. 逃避的, 回避的, 托辞的
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
exaltation,"n. 提升, 提高, 得意洋洋
"
exalted,"a. 高尚的, 尊贵的, 高位的, 兴奋的"
examine,"v. 检查, 调查, 考试"
re-examine,"v. 再考试；再审查
"
excellent,"a. 优良的, 杰出的, 出色的"
excellence,"n. 优秀, 卓越, 优点"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
interchange,"n. 立体交叉道, 互换
vt. 交换, 互换
vi. 交替发生"
exhale,"v. 呼气, 发出, 散发"
inhale,"vt. 吸入
vi. 吸气"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
exhilarating,"a. 令人喜欢的, 使人愉快的, 爽快的"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
experienced,"a. 富有经验的, 老练的, 熟练的"
inexperienced,"a. 无经验的, 不熟练的"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
expertise,"n. 专家意见, 专门技术
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
facilitate,"vt. 使容易, 促进, 帮助
"
facility,"n. 容易, 灵巧, 设备
"
faith,"n. 信心, 信任, 忠实, 保证
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
faithfully,"adv. 忠实地, 诚心诚意地, 深信着地"
unfaithful,"a. 不诚实的, 不忠实的
"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
fallible,"a. 易错的, 可能犯错的"
infallible,"a. 绝无错误的, 绝对可靠的
n. 一贯正确的人"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
falsehood,"n. 谎言, 虚假(性)
"
falsetto,"n. 假音, 假声歌手"
falsify,"vt. 伪造, 歪曲
vi. 说谎"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
unfamiliar,a. 不熟悉的
famous,"a. 出名的, 极好的"
fame,"n. 名望, 名声, 传说"
famed,"a. 著名的, 闻名的"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
fashionable,"a. 时髦的, 上流社会的, 流行的"
fate,"n. 命运, 运气
vt. 注定"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
fatality,"n. 不幸, 厄运, 致命性, 死亡者, 厄运, 天命"
fateful,"a. 宿命的, 重大的, 决定性的"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
unfathomable,"a. 莫测高深的, 深不可测的, 无底的"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
disfavor,"n. 厌恶, 不悦, 失宠
vt. 不赞成, 冷待"
disfavour,"vt. 不喜欢, 冷待, 不赞成, 受冷遇, 被疏远, 失宠
n. 不利"
feeble,"a. 微弱的, 衰弱的, 无效的
"
enfeeble,vt. 使衰弱
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
infertile,"a. 不肥沃的, 不毛的, 不结果实的"
fervent,"a. 热的, 炎热的, 热心的"
fervor,"n. 热情, 热心, 炽热"
fervour,"n. 炽热, 热诚, 热情, 热烈"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
fetching,"a. 动人的, 引人的, 迷人的"
far-fetched,"adj. 强词夺理的
"
feudal,"a. 封建制度的, 封地的, 领地的"
feudalism,"n. 封建主义, 封建制度"
fever,"n. 发烧, 发热, 热病
"
feverish,"a. 发热的, 极度兴奋的, 不安的"
fiction,"n. 小说, 虚构故事
"
fictitious,"a. 假想的, 编造的, 虚伪的
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
afield,"adv. 离开着, 偏离着, 在战场上"
fiend,"n. 魔鬼, 邪神, 能手, 成癖者"
fiendish,a. 恶魔似的
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
fishery,"n. 渔业
"
fission,"n. 裂开, 分裂, 分体
"
