fourteenth,"num. 第十四, 十四分之一"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
avenue,"n. 大街, 途径, 林荫路"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
everyone,"pron. 每个人, 人人
"
France,n. 法国
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
bathroom,"n. 浴室, 厕所"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
refrigerator,"n. 电冰箱, 冷藏库
"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
among,prep. 在...之中
conjunction,"n. 连接词, 联合, 结合
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
office,"n. 办公室, 部, 公职, 职责
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
fever,"n. 发烧, 发热, 热病
"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
energy,"n. 精力, 精神, 活力, 能量
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
ourselves,pron. 我们自己
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
carrot,"n. 胡萝卜
"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
entertainment,"n. 娱乐, 款待, 娱乐表演"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
desk,"n. 书桌, 办公桌, 工作台"
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
attitude,"n. 态度, 看法, 姿势
"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
notebook,"n. 笔记本, 手册, 期票簿"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
creative,"a. 有创造力的, 创作的, 产生的"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
soccer,n. 英式足球
thirty,"num. 三十, 三十个"
glad,"a. 高兴的, 喜欢的, 情愿的"
crazy,"a. 发狂的, 狂热的"
monster,"n. 怪物, 恶人, 巨物
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
sea,"n. 海, 海洋, 海浪, 大量
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
album,"n. 粘贴簿, 唱片套
"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
fourteen,"num. 十四, 十四个"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
online,[计] 联机
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
big,"a. 大的, 重要的
adv. 大量地"
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
noon,"n. 正午, 中午, 全盛期"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
chemistry,"n. 化学, 化学过程
"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
specifically,"adv. 特定地, 明确地, 按特性"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
cola,"结肠, 冒号, 科朗
"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
basket,"n. 篮, 篮子
vt. 装入篮"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
why,"adv. 为什么
n. 原因, 理由"
saying,"n. 叙述, 话, 说, 言论"
apple,"n. 苹果, 家伙
"
sometimes,"adv. 有时, 时常, 往往"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
suitable,"a. 适当的, 相配的
"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
beauty,"n. 美, 美人"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
bulb,"n. 球茎, 电灯泡
"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
evening,"n. 傍晚, 晚间, 末期"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
permission,"n. 许可, 允许
"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
hometown,"n. 故乡, 家乡"
documentary,"n. 记录片
a. 文件的"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
better,"a. 较好的
adv. 比较好"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
teenager,n. 十三岁到十九岁的少年
but,"prep. 除了
conj. 但是
adv. 仅仅"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
statement,"n. 陈述, 指令, 声明
"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
artist,"n. 艺术家, 画家"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
alright,a. 没问题的
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
convenient,"a. 方便的, 合宜的
"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
of,"prep. 的, 属于"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
careful,"a. 小心的, 谨慎的"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
diary,"n. 日记
"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
eighty,"num. 八十, 八十个"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
somewhere,"adv. 到某处, 在某处"
product,"n. 产品, 结果, 乘积
"
never,"adv. 从不, 决不, 不曾
"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
insect,"n. 昆虫, 卑鄙的人
"
banana,n. 香蕉
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
district,"n. 区域, 地方
"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
marathon,"n. 马拉松, 耐力的考验"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
rather,"adv. 宁可, 稍微, 相当"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
discovery,"n. 发现, 被发现的事物
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
clothes,n. 衣服
anything,pron. 任何事
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
boat,"n. 船
vi. 乘船
vt. 以船运"
association,"n. 协会
"
to,"prep. 到, 向, 趋于
adv. 向前"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
author,"n. 作家, 作家的著作, 创始人
"
Jew,"n. 犹太人, 守财奴, 犹太教信徒
vt. 欺骗, 杀价"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
cabbage,"n. 卷心菜
"
tenth,"num. 第十, 十分之一"
hallway,n. 门厅；玄关；走廊
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
Atlantic,"n. 大西洋
a. 大西洋的"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
not,"adv. 不, 非, 未
"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
positive,"a. 肯定的, 积极的, 有把握的
"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
fiction,"n. 小说, 虚构故事
"
pear,"n. 梨子, 梨树, 梨木
"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
two,"num. 二, 二个"
death,"n. 死亡
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
afford,"vt. 买得起, 足以, 给予"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
animal,"n. 动物
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
escalator,"n. 电动扶梯, 自动扶梯
"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
breakfast,n. 早餐
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
weekend,"n. 周末, 周末休假"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
a,"第一个字母 A; 一个; 第一的
art. "
an,art. 一
schoolbag,n. 书包
kilo,"n. 千
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
supermarket,"n. 超级市场
"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
vocabulary,"n. 词汇(量), 词汇表
"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
comma,"n. 逗点, 逗号"
zoo,n. 动物园
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
grass,"n. 草, 草原, 牧场
"
conversation,"n. 会话, 说话, 交谈
"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
furniture,"n. 家具, 帆具"
Christmas,[网络] 圣诞；基督的弥撒
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
comedy,"n. 喜剧, 有趣的事情"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
Africa,n. 非洲
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
Canada,n. 加拿大
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
easily,"adv. 容易地, 轻易地, 流利地"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
glove,"n. 手套
vt. 给...戴手套"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
bell,"n. 铃, 钟
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
the,art. 那
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
invent,"vt. 发明, 创作, 虚构
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
population,"n. 人口, 人口数
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
usual,"a. 平常的, 通常的"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
instead,"adv. 作为替代, 反而"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
here,"adv. 在这里, 此时, 这里
n. 这里"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
anybody,"pron. 任何人
n. 重要人物"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
province,"n. 省, 地方, 职权, 领域
"
our,pron. 我们的
sixteenth,"num. 第十六, 十六分之一"
twenty,"num. 二十, 二十个"
building,"n. 建筑物, 建筑
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
they,"pron. 他们, 它们"
instrument,"n. 工具, 手段, 仪器
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
elementary,"a. 初步的, 基本的
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
talented,"a. 天资高的, 有才能的"
mixture,"n. 混合, 混淆, 混合物
"
duty,"n. 责任, 关税, 职务, 尊敬
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
doll,"n. 洋娃娃, 无头脑的美丽女人"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
below,"prep. 在下面
adv. 在下面"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
discuss,"vt. 讨论, 论述
"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
