feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dustbin,n. 垃圾箱
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
disappear,"vi. 消失, 不见"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
boring,"a. 烦人的, 无聊的, 无趣的
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
textbook,n. 教科书
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
confidence,"n. 信心
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
nut,"n. 坚果, 核心, 螺帽
"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
pumpkin,n. 南瓜
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
tofu,n. 豆腐
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
difficulty,"n. 困难, 难点"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
frighten,"vt. 使惊吓
vi. 惊恐"
hardly,"adv. 刚刚, 几乎不, 勉强是"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
nearly,"adv. 几乎, 密切地"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
biscuit,"n. 饼干
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
watermelon,n. 西瓜
really,"adv. 实际上, 真实地, 实在"
discussion,n. 讨论
outdoor,"a. 户外的, 屋外的, 露天的"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
century,"n. 世纪, 百年"
newspaper,n. 报纸
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
librarian,"n. 图书馆员, 图书管理员
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
seafood,"n. 海味, 海鲜, 鱼类"
wheat,n. 小麦
satellite,"n. 人造卫星
"
misty,"a. 有雾的, 模糊的, 笼罩着雾的"
happen,"vi. 发生, 发生, 恰巧"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
policy,"n. 政策, 方针, 策略, 保险单
"
audience,"n. 听众, 观众, 读者
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
deaf,"a. 聋的
"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
toothbrush,n. 牙刷
cancer,"n. 癌, 恶性肿瘤
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
rob,"v. 抢夺, 抢掠, 剥夺"
noisy,"a. 嘈杂的, 喧闹的
"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
percent,"n. 百分比, 百分数, 部分
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
temperature,"n. 温度, 发烧, 热度
"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
handwriting,n. 笔迹
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
countryside,"n. 乡下地方, 乡下居民"
conference,"n. 会议
"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
beside,prep. 在旁边
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
always,"adv. 总是, 始终"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
blouse,n. 宽松的上衣
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
mostly,"adv. 大概, 大部分, 主要
"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
situation,"n. 情形, 境遇, 位置
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
insist,"v. 坚持, 坚决主张, 强调"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
effort,"n. 努力, 成就"
pizza,n. 比萨饼
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
news,"n. 新闻, 消息, 报导
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
kitchen,"n. 厨房, 全套炊具
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
rose,"n. 玫瑰, 蔷薇, 玫瑰色
a. 玫瑰色的, 玫瑰花的
vt. 使成玫瑰色
rise的过去式"
expect,"vt. 预期, 盼望, 期待"
washroom,n. 盥洗室
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
coffee,"n. 咖啡, 咖啡色
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
golf,"n. 高尔夫球
vi. 打高尔夫球"
software,"n. 软件
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
encourage,"vt. 鼓励, 支持, 激励
"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
truth,"n. 事实, 实情
"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
neatly,"adv. 整洁地, 干净地, 匀称地"
fever,"n. 发烧, 发热, 热病
"
become,"vi. 变成, 变得
vt. 适合"
during,prep. 在...的时候
government,"n. 政府, 内阁
"
advertisement,"n. 广告, 启事, 广告宣传
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
video,"n. 影像, 电视
a. 图像的, 电视的"
although,"conj. 虽然, 尽管"
method,"n. 方法, 办法, 条理, 秩序
"
technology,"n. 技术, 工业技术, 术语
"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
winner,"n. 胜利者, 优胜者
"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
sadly,"adv. 悲痛地, 悲惨地, 悲伤地, 说来遗憾"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
ever,"adv. 曾经, 究竟, 永远"
huge,"a. 极大的, 巨大的, 无限的"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
recite,"v. 背诵, 朗读, 叙述"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
part-time,n. 兼任，部分时间
metre,"n. 公尺, 格律, 韵律
"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
suggestion,"n. 提议, 意见
"
rather,"adv. 宁可, 稍微, 相当"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
airline,"n. 航线, 航线的设备, 航空公司"
pronunciation,"n. 发音, 读法"
headmaster,"n. (中小学)校长, 监工"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
discovery,"n. 发现, 被发现的事物
"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
already,"adv. 已经, 早已"
towards,"prep. 向, 对于, 为了"
museum,n. 博物馆
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
against,"prep. 反对, 对着, 倚靠"
menu,"n. 菜单, (功能)选择单
"
amazing,a. 令人惊异的
diagram,n. 图表；图解
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
piano,n. 钢琴
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
surfer,n. 冲浪运动员
dinner,"n. 晚餐, 正餐, 宴会"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
printer,"n. 印刷工, 打印机
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
teamwork,"n. 协同作业, 协力
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
porridge,"n. 粥, 糊"
physics,"n. 物理学, 物理过程, 物理现象
"
inventor,"n. 发明家
"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
degree,"n. 程度, 度数, 学位, 度
"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
exciting,"a. 令人兴奋的, 刺激的
"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
death,"n. 死亡
"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
director,"n. 主管, 导演, 董事
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
handbag,n. 手提包
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
ski,"n. 滑雪橇
vi. 滑雪"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
honest,"a. 诚实的, 坦直的, 可靠的"
zebra,n. 斑马
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
ad,"n. 广告
"
aeroplane,"n. 飞机
"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
Africa,n. 非洲
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
afternoon,"n. 午后, 下午"
again,"adv. 再一次, 又, 到原处"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
ago,adv. 以前
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
airport,"n. 飞机场
"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
also,"adv. 也, 并且, 同样地"
America,"n. 美洲, 美国"
and,"conj. 和, 与
"
angry,"a. 生气的, 愤怒的"
animal,"n. 动物
"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
any,"a. 任何的
pron. 任何"
anybody,"pron. 任何人
n. 重要人物"
anyone,pron. 任何人
anything,pron. 任何事
anytime,adv. 任何时候；无例外地
anywhere,adv. 无论何处
apple,"n. 苹果, 家伙
"
April,n. 四月
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
at,"prep. 在, 向, 对
"
August,"n. 八月
a. 威严的, 令人敬畏的"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
Australia,"n. 澳洲, 澳大利亚"
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
autumn,"n. 秋天, 成熟期"
away,adv. 离去
baby,"n. 婴孩
"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
bad,"a. 坏的
n. 坏
adv. 坏地"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
banana,n. 香蕉
bank,"n. 银行, 堤, 岸
"
basket,"n. 篮, 篮子
vt. 装入篮"
basketball,n. 篮球
be,"v. 是, 表示, 在
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
beautiful,a. 美丽的
because,conj. 因为
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
bedroom,n. 卧室
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
beeper,"n. 驾驶飞机的遥控人员
"
beer,"n. 啤酒
"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
behind,"adv. 在后地
prep. 在...背后"
Berlin,[网络] 柏林
best,"a. 最好的
adv. 最好地
n. 最好的人"
best-seller,"畅销书, 畅销书作者
"
between,prep. 在...之间
big,"a. 大的, 重要的
adv. 大量地"
bike,"n. 自行车, 脚踏车"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
birthday,n. 生日
black,"n. 黑色, 黑颜料
a. 黑色的"
blackboard,n. 黑板
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
boat,"n. 船
vi. 乘船
vt. 以船运"
boating,n. 划船
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
born,"a. 天生的
bear的过去分词"
Boston,[网络] 波士顿
both,"a. 两者的
adv. 两者都
pron. 两者"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
boy,"n. 男孩
"
Brazil,n. 巴西
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
breakfast,n. 早餐
brightly,"adv. 生辉地, 明亮地, 鲜明地"
Britain,n. 英国
British,"a. 英国的
n. 英国人, 英国英语"
brother,n. 兄弟
building,"n. 建筑物, 建筑
"
bus,"n. 公共汽车
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
but,"prep. 除了
conj. 但是
adv. 仅仅"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
bye,"interj. 再会, 回头见
"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
Canada,n. 加拿大
Canadian,a. 加拿大的
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
car,"n. 汽车, 客车
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
careful,"a. 小心的, 谨慎的"
carefully,"adv. 小心地, 谨慎地"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
certainly,adv. 确定地
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
chicken,"n. 小鸡, 鸡肉"
child,"n. 孩子, 产物, 追随者
"
children,"pl. 孩子, 孩子们"
China,"n. 中国, 瓷器
a. 中国的"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Christmas,[网络] 圣诞；基督的弥撒
city,"n. 城市, 市
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
classmate,n. 同班同学
classroom,n. 教室
cleaner,"n. 清洁工人, 清洁剂, 干洗商
"
clearly,adv. 清楚地
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
clothes,n. 衣服
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
cow,"n. 母牛, 母兽
vt. 威胁"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
dad,"n. 爸爸, 爹爹"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
danger,"n. 危险, 威胁
"
