international,"a. 国际的
n. 国别设定
"
in the wake of,"尾随, 紧跟, 仿效"
napkin,"n. 餐巾, 餐巾纸, 尿布"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
incite,"vt. 刺激, 激励, 引诱
"
incentive,"n. 动机
a. 激励的"
excite,"vt. 刺激, 使兴奋, 激励"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnificence,"n. 富丽堂皇, 华丽, 宏大"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
significance,"n. 重要性, 意义, 意味
"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
quantity,"n. 量, 数量, 总量
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualitative,"a. 性质的, 质的, 定性的"
quantitative,"a. 数量的, 定量的
"
regional,"a. 地方的, 地域性的
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
install,"vt. 安装, 安置, 使就职
"
installation,"n. 安装, 装置, 就职
"
installment,"n. 就职, 装设, 分期付款
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
willow,"n. 柳树, 柳木制品
a. 柳树的, 柳木制的"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
invisible,"a. 看不见的, 无形的
"
envisage,"vt. 面对, 正视, 想象"
audible,"a. 听得见的
"
inaudible,a. 听不见的
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
misguide,vt. 误导
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
anniversary,n. 周年纪念
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
physiology,"n. 生理学, 生理机能
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
unprecedented,"a. 空前的
"
preceding,"a. 在前的, 前面的
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
quantity,"n. 量, 数量, 总量
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
majestic,"a. 宏伟的, 庄严的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiator,"n. 创始者, 首倡者, 引爆药
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
conjunction,"n. 连接词, 联合, 结合
"
connection,"n. 连接, 关系, 前后关系
"
boycott,"n. 联合抵制
vt. 联合抵制"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
sufficient,"a. 充分的, 足够的
"
suffice,"vi. 足够, 有能力
vt. 满足"
deficient,"a. 不足的, 不充分的, 有缺陷的"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
born,"a. 天生的
bear的过去分词"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
insist,"v. 坚持, 坚决主张, 强调"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
monarch,"n. 帝王, 统治者, 元首
"
monarchy,"n. 君主政体, 君主国, 君主政治
"
hierarch,"n. 教主, 高僧, 掌权者"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
hierarchical,"[计] 分级的, 分层的, 层次的"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
ferry,"n. 渡船, 渡口
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
infer,"vt. 推论出, 推断
vi. 作推论"
confer,"vt. 授予, 带来
vi. 协商"
conference,"n. 会议
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
deduct,"vt. 扣除, 减去
"
deductible,"a. 可扣除的
"
deduce,"vt. 推论, 演绎出
"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
regal,"a. 帝王的, 适于帝王的"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
regulation,"n. 规则, 管理, 调整
"
legal,"a. 法律的, 法定的, 合法的
"
property,"n. 财产, 所有权, 性质, 属性
"
liberty,"n. 自由, 特权, 许可, 冒失
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberalize,"vt. 宽大, 使自由主义化
vi. 自由主义化"
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
realism,"n. 写实主义, 现实, 实在论
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
clamp,"n. 夹钳
vt. 夹紧, 强加"
clamp down,"取缔, 强行压制"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
systematic,"a. 有系统的, 分类上的, 体系的
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
journal,"n. 日记, 杂志, 日报
"
journalism,"n. 新闻业, 报章杂志
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
exert,"vt. 发挥, 运用, 施以影响
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
discuss,"vt. 讨论, 论述
"
razor,"n. 剃刀
vt. 剃"
raze,"vt. 毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏"
erase,"vt. 抹去, 擦掉
"
scissors,"pl. 剪刀
"
precise,"a. 精确的, 严谨的, 明确的
"
concise,"a. 简洁的, 简明的"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cape,"n. 岬, 海角, 披肩, 斗蓬"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
campus,"n. 校园, 大学生活"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
sensation,"n. 感觉, 轰动
"
consensus,"n. 合意, 一致, 同感
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
assign,"vt. 分配, 指派, 赋值
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
latitude,"n. 纬度, 范围
"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
longitude,"n. 经度, 经线
"
altitude,"n. 高度, 海拔, 高处
"
opera,n. 歌剧
drama,"n. 戏剧, 戏剧艺术"
dramatic,"a. 戏剧性的, 生动的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
revere,"vt. 崇敬, 敬畏, 尊敬"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
chart,"n. 图表, 海图
vt. 制成图表
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
complicated,"a. 复杂的
"
complication,"n. 复杂化, 复杂情况
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
scarce,"a. 难得的, 稀罕的, 缺乏的"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
symptom,"n. 症状, 征候, 征兆
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
bride,n. 新娘
corridor,"n. 走廊, 回廊, 人口密集地带"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
ravel,"vt. 使纠缠, 使混乱, 拆开, 弄清
vi. 散开, 解除
n. 纠缠的一团, 散纱"
addition,"n. 加法, 增加的人(或物)
"
addiction,"n. 入迷, 瘾
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
cohesive,"a. 黏合在一起的
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
collision,"n. 碰撞, 冲突, 抵触
"
collide,"vi. 碰撞, 互撞, 抵触"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
decorate,v. 装饰
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
evenly,"adv. 平衡地, 平坦地, 平等地"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
thorough,"a. 十分的, 彻底的"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
hypocrite,"n. 伪君子, 伪善者"
hypocrisy,"n. 伪善
"
hypothesis,"n. 假设
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
sorb,"n. 山梨树
v. (被)吸附, (被)吸收"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
sturdy,"a. 强健的, 健全的
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
grin,"n. 露齿笑
v. 露齿而笑"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
avoid,"vt. 避免, 防止, 撤消
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
mourn,"v. 哀悼, 忧伤, 服丧"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
distill,"vt. 蒸馏
vi. 滴下"
awe,"n. 敬畏
vt. 使敬畏"
awful,"a. 可怕的, 庄严的, 虔敬的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
dentist,"n. 牙科医生
"
dental,"a. 牙齿的
"
timid,"a. 胆小的, 羞怯的"
intimidate,"vt. 威胁, 恐吓
"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
merely,adv. 只
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
muted,"a. 变弱了的, 变柔和了的"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
parachute,"n. 降落伞
vi. 跳伞"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
parliament,"n. 国会, 议会
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
drastic,"a. 激烈的
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
uproar,"n. 骚动, 喧嚣"
arrogant,"a. 自大的, 傲慢的"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
