arroyo,"n. 干涸沟壑, 旱谷, 小河"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
deposition,"n. 免职, 作证, 沉淀
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
dispatch,"vt. 派遣
n. 派遣, 急件
"
empower,"vt. 授予权力, 允许, 使能够
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
inaugural,"a. 就任的, 开幕的
n. 就职演讲"
inaugurate,"vt. 开始, 举行...就职典礼"
induct,"vt. 引导, 使入门, 引入, 使就职"
induction,"n. 归纳法, 感应, 就职, 入门
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
install,"vt. 安装, 安置, 使就职
"
instate,"vt. 任命
"
matriculate,"vt. 准许入学, 录取
vi. 入学, 进大学
n. 获准入学者"
nominate,"vt. 提名, 任命, 命名
"
ordain,"vt. 注定, 规定, 任命
vi. 颁布命令"
preside,"vi. 统辖, 当主人, 主持
"
sinecure,"n. 闲职
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
courier,"n. 送快信的人, 伴游服务员
"
coroner,"n. 验尸官
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
foray,"vi. 侵略, 劫掠, 袭击
n. 侵掠, 侵略, 攻击"
iconoclastic,"a. 反对偶象崇拜的, 打破旧习的"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
inroad,"n. 侵入, 得手, 侵害
"
onslaught,"n. 突击, 猛击, 猛攻"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
assailable,a. 易受攻击的
propound,"vt. 提出供考虑
"
adduce,"vt. 引证, 举出
"
allocate,"vt. 分派, 分配
"
alms,"n. 施舍, 救济金, 救济品"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
distribute,"vt. 分配, 散布, 分发
"
endue,"vt. 授予, 赋予, 穿上"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
mete,"vt. 量, 测量, 分配
n. 边界, 界石"
proffer,"vt. 提供, 贡献, 提议
n. 提供, 提议"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
purvey,"v. 供给, 供应"
quota,"n. 配额, 限额
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
redistribution,"n. 重新分配, 再分发
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
accoutre,"vt. 供以服装, 供以军用品, 装备"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
buckle,"n. 皮带扣, 扣子
vt. 扣住, 使弯曲
vi. 扣住, 变弯曲, 屈服"
clench,"n. 牢牢抓住, 钉紧, 敲弯钉尖
vt. 紧握, 牢牢地抓住, 确定, 敲弯
vi. 握紧, 钉牢"
clinch,"n. 钉牢
v. 敲弯, 用臂钳住"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
fixate,"vi. 使固定, 使不变, 注视
vt. 使固定, 注视"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
settled,"a. 固定的, 决定的, 持续的, 难以消除的
"
solidify,"v. (使)凝固, (使)团结, 巩固"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
lookout,"n. 注意, 前途, 了望台, 景色
"
askance,"adv. 怀疑地, 斜眼看"
astigmatic,"a. 散光的, 矫正散光的
"
behold,"vt. 看到, 注视
vi. 看"
descry,"vt. 看出, 看见, 发现"
discern,"v. 辨别, 看清楚, 了解"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
discerning,"a. 有眼力的, 敏锐的, 有辨别能力的, 有洞察力的"
envisage,"vt. 面对, 正视, 想象"
espy,"vt. 看出, 望见, 发现"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
glower,"vi. 瞪眼, 怒目而视, 凝视
n. 怒视, 热切的注视, 灯丝"
goggle,"n. 眼睛瞪视, 护目镜
a. 突出的, 瞪眼的
vi. 瞪眼看, 眼珠转动
vt. 使瞪眼, 使眼珠转动"
hallucination,"n. 幻觉, 幻想
"
inspection,"n. 检验, 检查, 视察
"
leer,"n. 秋波, 媚眼, 恶意的瞥视
vi. 送秋波, 抛媚眼, 斜睨"
ogle,"n. 眉目传情
vt. 挑逗地注视
vi. 做媚眼"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
peek,"vi. 偷看, 窥视
n. 偷看, 看一眼"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
peery,"好奇的, 怀疑的"
perambulate,"vt. 巡行, 徘徊, 漫步于, 勘查
vi. 漫步, 闲荡, 迂回"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
squint,"n. 斜视眼, 斜着
a. 斜视的
vt. 使变斜视眼
vi. 斜视, 倾向, 斜行"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
vigil,"n. 警戒, 监视, 守夜
"
imbue,"vt. 使感染, 灌输, 使浸透"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
inculcate,"vt. 反复灌输, 谆谆教诲"
indoctrinate,"vt. 教训, 教导, 灌输"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affiliation,"n. 联系, 从属关系
"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
amalgamate,"v. 使汞齐化, 合并"
annexation,"n. 合并, 附加, 附加物
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
coalesce,"vi. 合并, 联合, 合生
"
coalition,"n. 结合体, 结合, 联合
"
concatenate,"vt. 如锁链般连接, 使连锁, 连结
a. 连锁的, 连结的"
confederacy,"n. 联盟, 邦联
"
conflate,vt. 合并；异文合并
conjunction,"n. 连接词, 联合, 结合
"
cooperate,"vi. 合作, 协力, 配合
"
corporate,"a. 社团的, 合伙的, 公司的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
institution,"n. 机构, 惯例, 制度
"
interlock,"v. (使)连结, (使)连锁
n. 连锁, 连结
"
interlocking,"a. 连锁的
"
junction,"n. 连接, 会合处, 交叉点
"
meld,"v. 混合, 合并"
mesh,"n. 网孔, 网丝, 网眼, 网状物, 圈套, 陷阱, 啮合
vt. 以网捕捉, 啮合, 使缠住
vi. 落网, 相啮合"
nexus,"n. 连结, 关系
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
realign,"vt.vi. 重新排列, 重新组合"
recombine,"vt. 再结合, 重组"
splice,"vt. 接合, 捻接, 胶接, 使结婚
n. 接合, 胶接, 结婚
"
uncooperative,"a. 不合作的, 不配合的, 执拗的"
confluence,"n. 合流, 合流点, 集合, 人群
"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
disenchant,vt. 使清醒
disillusion,"n. 觉醒, 幻灭
vt. 使醒悟, 使幻想破灭"
evocative,"a. 唤出...的, 唤起...的"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
agitated,"a. (表现出)不安/焦虑的, (被)激烈辩论的, (被)热烈讨论的, 颤抖的
"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
embolden,"vt. 使大胆, 使有胆量"
exhort,"v. 劝诫, 忠告"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
goad,"n. 赶牛棒, 激励, 刺激
vt. 用刺棒驱赶, 激励, 刺激, 唆使, 煽动"
hearten,"vt. 使振作, 激励
vi. 振作"
hortative,"a. 劝告的, 奖励的"
incentive,"n. 动机
a. 激励的"
incite,"vt. 刺激, 激励, 引诱
"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
invigorating,"a. 精力充沛的, 生气勃勃的"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
solicit,"v. 请求, 乞求, 招揽, 征求"
stimulus,"n. 刺激, 激励, 刺激品
"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
whet,"n. 磨, 开胃小吃
vt. 磨, 磨快, 刺激, 促进"
invidious,"a. 引起反感的, 惹人不快的, 不公平的, 诽谤的"
jealousy,"n. 妒忌, 猜忌, 羡慕
"
economical,"a. 节俭的, 经济的, 合算的
"
abnegation,"n. 放弃, 舍弃, 克制"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
abstention,"n. 戒绝, 回避, 弃权"
abstentious,a. 有节制的
abstinent,"a. 有节制的, 禁欲的
n. 禁欲者"
constrained,"a. 被强迫的, 被约束的, 不舒服的"
continent,"n. 大陆, 洲
a. 自制的"
forbearance,"n. 节制, 自制, 忍耐
"
sobriety,"n. 节制饮酒, 戒酒, 节制, 一本正经, 庄重"
asceticism,"n. 禁欲主义, 苦行生涯
"
continence,"n. 自制
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
curfew,"n. 晚钟, 打晚钟时刻, 宵禁
"
debar,"vt. 排除, 防止, 禁止
"
forbid,"vt. 禁止, 不准, 妨碍
"
interdict,"vt. 禁止, 封锁, 停止, 制止
n. 禁令, 禁止"
licit,"a. 合法的, 正当的
"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
vie,"vi. 争, 竞争, 争胜
vt. 提出...来竞争, 以...作较量"
vying,"a. 竞争的
vie的现在分词"
regatta,n. 赛舟会
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
distend,"v. (使)膨胀, (使)扩张"
distension,"n. 扩张, 膨胀"
distention,"n. 扩张, 膨胀
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
flatulence,"n. 肠胃气胀, 空虚, 自负, 浮夸
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
intumescence,"n. 膨胀, 肿大
"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
tumid,"a. 肿胀的, 肿大的
"
agnostic,n. 不可知论者
comprehend,"vt. 理解, 包括"
comprehensible,a. 可理解的
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
misperceive,vt. 误解；看错
scrutable,"a. 可解读的, 可以了解的"
cognitive,"a. 认知的, 认识的"
misconstrue,"vt. 误解, 曲解
"
availability,"n. 有效性, 可利用性, 可利用的人
"
available,"a. 可利用的, 可获得的, 有效的
"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
communal,"a. 公有的, 公社的
"
disposable,"a. 可任意处理的
"
exert,"vt. 发挥, 运用, 施以影响
"
feasible,"a. 能实行的, 可行的, 适宜的
"
functional,"a. 功能的
"
inexorable,"a. 无情的, 冷酷的"
interaction,"n. 交互作用, 交感
"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
serviceable,"a. 有用的, 耐用的
"
underutilized,a. 未充分利用的
untapped,"a. 塞子未开的, 未利用的"
utilize,vt. 利用
layover,n. 中途短暂的停留
odyssey,n. 奥德赛(古希腊史诗)
peregrination,"n. 徒步旅行, 旅程, 人生历程, 漫谈, 泛论"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
unfathomed,"a. 未探测深度的, 无法窥探的, 未被了解的"
labyrinthine,[医] 迷路的
perplex,"vt. 使困惑, 使复杂化, 使为难
"
astray,"adv. 迷途地, 入歧途地
"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
befuddle,"vt. 使昏沉, 使迷惑, 使糊涂"
befuddlement,"[医] 迷惘, 迷糊"
bemused,"a. 困惑的, 发呆的"
bewilder,"vt. 使迷惑, 使不知所措"
bewildering,"a. 令人困惑的, 使人昏乱的"
captivate,"vt. 迷住, 迷惑"
confound,"vt. 使混淆, 使狼狈, 挫败"
daze,"vt. 使茫然, 使发昏, 使眼花缭乱
n. 迷乱, 眼花缭乱"
delirious,"a. 神志昏迷的, 发狂的
"
discomfited,v. 使为难( discomfit的过去式和过去分词); 使狼狈; 使挫折; 挫败
enthrall,"vt. 迷惑, 奴役, 迷住"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
illusive,"a. 幻影的, 错觉的, 迷惑人的"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
maze,"n. 迷宫, 迷惘
vt. 使迷惘, 使混乱, 迷失"
nonplus,"vt. 使困惑
n. 迷惑, 困惑"
obfuscate,"vt. 弄暗, 使模糊, 使迷惑"
straggle,"vi. 掉队, 落伍, 蔓延, 散乱
n. 低空扫射"
fluster,"n. 慌乱, 激动, 紧张不安
vt. 使紧张, 使慌张, 使激动
vi. 慌乱"
bewitch,"vt. 施魔法于, 蛊惑, 使着迷"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
glutinous,"a. 粘性的
"
tackiness,n. 粘着性
viscid,"a. 粘的, 胶粘的, 粘质的
"
viscous,"a. 粘的, 粘性的
"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
fragile,"a. 易碎的, 脆的
"
friable,"a. 易碎的, 易成粉末的, 脆弱的
"
mince,"n. 切碎物
vt. 切碎, 矫揉做作地说
vi. 碎步走, 装腔作势"
scrappy,"a. 杂凑的, 不连贯的, 爱打架的, 坚决的"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
extrude,"vt. 挤出, 压出, 逐出
vi. 伸出, 突出"
obviate,"vt. 除去, 排除, 使成为不必要, 避免"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
repulsion,"n. 击退, 排斥力, 反感
"
supplant,"vt. 排挤掉, 代替"
supposition,"n. 想像, 推测, 推想
"
adjudicate,"v. 判决, 宣告, 裁定"
appraise,"vt. 评价, 估价
"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
assess,"vt. 估定, 对...征税, 评定
"
assessment,"n. 评估, 估定, 评定的款额
"
evaluation,"n. 评估, 估价, 求值
"
infer,"vt. 推论出, 推断
vi. 作推论"
ponderable,"a. 可估量的, 可称量的, 有重量的
n. 值得估量的事物"
umpire,"n. 裁判员, 仲裁人
vt. 对...进行仲裁, 当...的裁判
vi. 当裁判"
feebleminded,"a. 低能的, 精神薄弱的, 意志薄弱的"
capsize,"v. 翻覆, 倾覆"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
perdition,"n. (恶人的)恶报, 永劫, 浩劫, 破灭, 贬落地狱"
decimate,"vt. 每十人杀一人, 大批杀害"
deface,"vt. 损伤外观
"
demolish,"vt. 毁坏, 破坏, 粉碎"
demolition,"n. 破坏, 毁坏, 撤销
"
destructible,a. 可破坏的
devastate,"vt. 毁坏
"
disfigure,"vt. 毁损...的外形, 玷污, 损害, 毁损...的容貌
"
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
marred,"v. 毁坏, 损坏, 玷污( mar的过去式和过去分词 )"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
raze,"vt. 毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
shattered,a. 极度疲劳的；破碎的
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
subvert,"vt. 推翻, 颠覆, 毁灭
"
trample,"n. 践踏(声), 蹂躏
v. 践踏, 无视"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
unscathed,"a. 没有受伤的, 未受损伤的"
vandalism,"n. 故意毁坏文物的行为, 破坏他人财产的行为"
vandalize,"vt. 肆意破坏
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
incise,"vt. 切割, 雕刻
"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
laminate,"vt. 制成薄板, 制成箔
vi. 分成薄片
a. 薄板状的
n. 层积塑胶板, 薄片制品
"
mutilate,"vt. 切断, 使残废, 使不完整
"
serrate,"a. 锯齿状的
"
serration,"n. 锯齿状, 锯齿边
"
debark,"vt. 使登陆, 使下船, 卸(货)
vi. 登陆"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
dispel,"vt. 驱散, 驱逐"
deseam,气炬烧剥
eliminate,"vt. 除去, 排除, 剔除, 消除"
exorcise,"vt. 驱邪, 除怪"
expunge,"vt. 擦掉, 删掉, 除去"
expurgate,"vt. 删除, 修订, 使纯洁"
supersede,"vt. 代替, 取代, 接替
"
unmask,"vi. 脱去假面具
vt. 暴露"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
application,"n. 应用, 申请, 志愿书, 应用程序
"
beseech,"v. 恳求, 哀求"
entreat,"v. 恳求, 乞求"
entreaty,"n. 恳求, 乞求"
implore,"vt. 恳求, 哀求"
importune,"vt. 强求, 硬要
vi. 强求, 纠缠"
imprecation,"n. 祈求, 诅咒"
intercede,"vi. 说情, 调解
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
suppliant,"a. 恳求的, 哀求的
n. 恳求者, 哀求者"
supplicate,"v. 恳求, 哀求, 恳请"
cadge,"v. 行乞, 乞讨, 贩卖"
unbidden,"a. 未奉命的, 未受指使的, 自发的, 未受邀请的"
appealing,"a. 有感染力的, 动人的, 恳求的"
adjuration,"n. 恳请, 祈求
"
deport,"vt. 举止, 驱逐出境
"
deportation,"n. 驱逐出境, 放逐
"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
evict,"vt. 逐出, 赶出, 驱逐
"
eviction,"n. 逐出, 赶出
"
exclude,"vt. 除外, 排除, 排斥
"
ostracism,"n. 流放, 放逐, 排斥
"
ostracize,"vt. 流放, 放逐, 排斥"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
defrock,"v. 剥去法衣, 解除僧职"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
bowdlerize,"vt. 删除, 删改"
deplete,"vt. 耗尽, 使衰竭
"
disabuse,"vt. 解迷惑, 使省悟"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
foreclose,"vt. 阻止, 排除, 预先处理, 取消抵押品赎回权
vi. 取消抵押品赎回权"
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
extirpate,"vt. 连根拔起, 消灭, 根除, 毁灭"
delete,"vt. 删除
"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
countenance,"n. 面容, 面部表情, 支持, 镇定"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
withstand,"vt. 抵住, 顶住, 经得起"
forbear,"v. 忍耐, 克制, 容忍
n. 祖先"
stamina,"n. 精力, 活力, 耐力, 雄蕊
"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
boon,n. 恩惠
confer,"vt. 授予, 带来
vi. 协商"
donate,v. 捐赠
garland,"n. 花环, 荣誉
vt. 戴花环"
largess,"n. 慷慨的赠与/赐与, 赏赐物, 慷慨, 大度, 施舍"
medal,"n. 奖牌, 勋章
vt. 授勋予"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
eleemosynary,"a. 施舍的, 慈善的, 依靠接济的
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
allege,"vt. 宣称, 主张, 提出, 断言
"
assert,"vt. 主张, 坚称, 断言
"
avowal,"n. 公开表示, 坦率承认
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
commentary,"n. 注释, 评论, 说明
"
construe,"vt. 解释, 分析, 对...逐字直译
vi. 作句法分析
n. 直译"
decipher,"vt. 译解, 解释
n. 密电译文"
decode,"vt. 解码, 译解
"
elaboration,"n. 苦心经营, 精巧
"
elucidate,"vt. 阐明, 说明"
evince,"vt. 表明(感情等), 表示出(特性等)"
explicable,"a. 可说明的, 可解释的"
explicate,"vt. 详细说明, 解释, 说明, 引伸"
expository,"a. 说明的, 解释的"
expound,"v. 详细说明, 解释"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
iterate,"vt. 反复说, 重复
"
legend,"n. 传说, 传奇文学, 图例
"
manifesto,"n. 宣言, 声明"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
proclamation,"n. 宣言, 公布, 布告, 公告
"
promulgate,"vt. 发布, 公布, 发表, 传播
"
publicize,vt. 宣传
prescriptive,"a. 规定的, 指定的, 规范的
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
apprise,vt. 通知
cogent,"a. 使人首肯的, 使人信服的, 中肯切题的
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
exegesis,"n. 注释, 解释"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
excogitate,"vt. 想出, 研究出, 设计, 发明"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
incogitant,a. 无思想的；粗心的；不体谅的
introspective,"a. 内省的
"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
meditation,"n. 沉思, 冥想"
muse,"n. 沉思, 冥想
v. 沉思, 冥想, 若有所思地凝望或说"
opine,"v. 想, 以为"
ponder,"v. 沉思, 考虑"
premeditate,"v. 预谋, 预先考虑"
premeditated,"a. 预先考虑的, 预谋的
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
reminisce,"vt. 追忆说
vi. 追忆往事, 话旧"
retrace,"vt. 追溯, 折回, 绕回
"
ruminate,"v. 反刍, 沉思"
ruminative,"a. 默想的, 沉思的
"
speculate,"vi. 深思, 推测, 投机
"
speculative,"a. 思索性的, 投机的, 推测的
"
unpremeditated,"a. 未经事先考虑的, 无预谋的, 偶然的
"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
scruple,"n. 踌躇, 犹豫, 微量
vi. 踌躇, 有顾忌"
cerebration,"n. 脑髓作用, 大脑活动, 思考
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
infringe,"v. 破坏, 侵犯, 违反"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
counterproductive,a. 反生产的；使达不到预期目标的
debrief,"vt. 听取报告, 盘问"
feedback,"n. 反馈, 反应
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
pry,"n. 杠杆, 窥探, 好奇者
vi. 打听, 窥探
vt. 撬动, 撬开, 费力得到"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
rejoin,"vt. 使再结合, 再加入, 回答
vi. 重新聚合, 回答, 第二次答辩"
rejoinder,"n. 回答, 答辩, 答复
"
repartee,"n. 机敏巧妙的回答, 妙语, 机智的反驳, 巧辩, 敏捷答辩的才能"
response,"n. 反应, 回答, 响应
"
responsiveness,"n. 强烈的反应
"
catechism,"n. (基督教的)教理问答, 一套问答"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
