divulge,"vt. 泄露, 透露"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
adjacent,"a. 毗连的, 邻近的, 连接的
"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
confiscate,"vt. 没收, 把...充公, 查抄
a. 被没收的"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
velocity,"n. 速度, 迅速
"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
grapple,"v. 抓住, 掌握
n. 抓住, 系紧, 掌握, 与...扭打"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
prodigious,"a. 庞大的, 惊人的, 异常的"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
encroach,"vi. 侵犯, 侵蚀, 蚕食
"
embody,"vt. 具体表达, 使具体化
"
coincide,"vi. 一致, 符合
"
confer,"vt. 授予, 带来
vi. 协商"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
dwell,"vi. 居住, 居住(于), 存在(于)"
comprise,"vt. 包含, 构成"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
tentative,"n. 试验
a. 试验性的, 暂时的"
pillage,"n. 掠夺, 抢劫, 掠夺物, 战利品
v. 掠夺, 抢劫"
pinnacle,"n. 小尖塔, 尖峰, 高峰, 极点
vt. 造小尖塔, 置于尖顶上"
ailment,"n. 病痛, 疾病
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
preoccupied,"a. 被先占的, 入神的, 一心一意的"
exhale,"v. 呼气, 发出, 散发"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
cavalier,"n. 骑士, 骑手"
hereditary,"a. 世袭的, 遗传的
"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
finesse,"n. 策略, 手段, (桥牌中的)飞牌
v. 用计谋处理, 出小牌"
belated,"a. 迟来的
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
levity,"n. 轻率, 轻浮, 不稳定"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
amass,"vt. 积聚, 堆积"
ostensible,"a. 表面的, 假装的, 看得出的
"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
chaos,"n. 大混乱, 混沌
"
voluminous,"a. 卷数多的, 大部头的, 著书多的, 长篇的, 庞大的, 很多的, 盘绕的"
revile,"v. 辱骂, 斥责"
corporeal,"a. 肉体的, 有形的, 物质的
"
oscillate,"vi. 振动, 彷徨, 犹豫
vt. 使振动, 使动摇"
monarchy,"n. 君主政体, 君主国, 君主政治
"
inoculate,"vt. 接种, 嫁接
"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
suffrage,"n. 投票, 选举权, 参政权, 代祷
"
patron,"n. 赞助人, 顾客, 保护人
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
inhospitable,"a. 冷淡的, 不适于居住的, 不相容的"
oblique,"a. 斜的, 倾斜的, 间接的, 不光明正大的, 躲躲闪闪的
"
bequeath,"vt. 遗赠, 遗留
"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
ramify,"v. (使)分枝, (使)分叉, (使)成枝岔状"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
deprive,"vt. 剥夺, 使丧失
"
necessitate,"vt. 迫使, 使成为必需, 需要"
inhale,"vt. 吸入
vi. 吸气"
dexterity,"n. 灵巧, 机敏"
ooze,"n. 渗流, 分泌物
v. 渗出, 泄漏"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
eject,"vt. 逐放, 放逐, 喷射
"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
brusque,"a. 唐突的, 直率的"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
uprising,"n. 起义, 升起
"
touchstone,"n. 试金石, 检验标准"
purveyor,"n. 承办伙食者, 承办商人, 征发官员"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
decimate,"vt. 每十人杀一人, 大批杀害"
decipher,"vt. 译解, 解释
n. 密电译文"
amenable,"a. 服从的, 会接纳的, 有义务的
"
siphon,"n. 虹吸管
vt. 用虹吸管吸出, 抽取
vi. 通过虹吸管"
annotate,"v. 作注解, 注释
"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
hiatus,"n. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句
pl. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句"
cantankerous,"a. 专爱唱反调的, 爱吵架的"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
vernacular,"n. 本地话, 方言
a. 地方的, 用本地语写成的"
prevail,"vi. 获胜, 流行, 盛行
"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
hitherto,"adv. 迄今, 至今"
vertiginous,"a. 旋转的, 眩晕的
"
bravado,n. 虚张声势
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
abiding,"a. 永久的, 持久的, 不变的"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
debonair,"a. 温文有礼的, 高兴的"
infuriate,"a. 狂怒的
vt. 激怒"
crestfallen,"a. 垂头丧气的, 意气沮丧的, 气馁的"
wistful,"a. 渴望的, 想望的"
concur,"vi. 同意, 一致, 同时发生
"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
extrapolate,"v. 推断, 外推"
resemble,"vt. 相似, 类似"
ordain,"vt. 注定, 规定, 任命
vi. 颁布命令"
mirth,"n. 欢笑, 欢乐, 愉快"
jovial,"a. 快活的, 高兴的, 愉快的
"
cajole,"vt. 以甜言蜜语哄骗, 勾引"
baneful,"a. 有害的, 致命的"
identical,"a. 同一的, 恒等的, 完全相同的
"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
arguably,adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
obstreperous,"a. 吵闹的, 喧嚣的, 骚乱的, 不守秩序的"
volition,"n. 行使意志, 意志力, 决定"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
sumptuous,"a. 奢侈的, 华丽的"
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
particularize,"v. 详细说明, 列举, 使特殊"
albeit,"conj. 尽管, 虽然"
abet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
anodyne,"n. 止痛药, 镇痛剂
a. 止痛的"
credulous,"a. 轻信的, 易受骗的"
asunder,"adv. 分开, 散, 碎"
petulant,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
winnow,"vt. 簸, 扬(谷), 吹掉, 把挑出来, 精选
vi. 扬谷, 分出好坏, 飞翔
n. 扬谷, 扬谷器"
yearn,"vi. 渴望, 想念, 怀念, 同情"
indulgent,"a. 纵容的, 任性的, 宽容的"
preside,"vi. 统辖, 当主人, 主持
"
meretricious,"a. 华丽而庸俗的, 俗气的, 娼妓的"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
gigantic,"a. 巨人般的, 巨大的"
snub,"n. 冷落, 怠慢, 斥责, 制止
a. 制动用的, 短而扁的
vt. 冷落, 怠慢, 制止, 使...停住, 掐灭"
underplay,"vt. 表演不充分, 扣着大牌不出而出小牌, 对...轻描淡写
vi. 表演角色不充分
n. 秘密行动, 不充分的表演"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
seethe,"vi. 冒泡, 沸腾
vt. 使煮沸, 使浸透
n. 翻腾"
morph,"[计] 形态, 词态"
subservient,"a. 有帮助的, 有用的, 奉承的"
obtuse,"a. 钝的, 不锋利的, 愚钝的
"
trenchant,"a. 锐利的, 尖锐的, 有力的, 鲜明的, 清晰的"
instigate,"vt. 教唆, 怂恿, 煽动
"
fusty,"a. 发霉的, 守旧的, 陈腐的"
cease,"n. 停止
v. 停止, 终了"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
vituperate,"vt. 辱骂, 责骂
"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
molder,"vi. 腐朽, 崩塌
vt. 使腐朽, 使崩塌
n. 造模者, 铸模工"
transmogrify,"vt. 使变形, 使变成奇形怪状"
choreograph,v. 设计舞蹈动作
incipient,"a. 起初的, 发端的, 初期的
"
antiquarian,"n. 古文物收藏家, 古董商
a. 古文物的, 古文物研究的"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
compartmentalize,vt. 划分
maelstrom,"n. 大漩涡, 极度混乱"
captious,"a. 吹毛求疵的, 挑剔的"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
fealty,"n. 忠诚, 忠贞, 忠实"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
await,"vt. 等候
vi. 等待着"
languish,"vi. 憔悴, 凋萎, 苦思"
nugatory,"a. 无价值的, 无用的, 无效的, 琐碎的"
inept,"a. 不适当的, 不理智的, 笨拙的
"
spartan,"a. 斯巴达的, 斯巴达式的, 刚强的, 勇敢的, 好战的, 严峻的, 简朴的, 艰苦的
n. 斯巴达人, 勇士, 坚韧不拔的人"
ancillary,"a. 从属的, 辅助的, 副的
"
sequester,"vt. 使隐退, 使隔绝, 扣押, 没收
"
hasty,"a. 匆匆的, 轻率的, 性怠的"
budding,"a. 萌芽的, 发育期的, 初露头角的
n. 发芽"
vainglory,"n. 自负, 极度的虚荣心"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
like-minded, 有同样想法的; 志趣相投的
ecumenical,"a. 一般的, 普遍的, 全基督教的, 泛基督教主义的"
ardent,"a. 热心的, 激动的, 燃烧般的
"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
distend,"v. (使)膨胀, (使)扩张"
self-regard, [体]自尊
subterfuge,"n. 遁辞, 借口, 托辞
"
agglomerate,"n. 大团, 大块
a. 成块的, 聚结的
vt. 使成团, 使成块, 使聚结
vi. 成团, 成块, 聚结"
goad,"n. 赶牛棒, 激励, 刺激
vt. 用刺棒驱赶, 激励, 刺激, 唆使, 煽动"
surfeit,"n. 过食, 过度, 恶心
vt. 使厌腻, 使沉溺于
vi. 饮食过度"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
prolix,"a. 冗长的, 说话罗唆的"
exactitude,"n. 正确(性), 精密, 精确(性), 严格"
chastise,"vt. 责骂, 惩罚
"
protract,"vt. 延长, 拖延, 伸出, 绘制
"
stymie,"n. (喻)困难的境地
vt. 使(球)处于困难的位置, 使为难, 使处困境, 妨碍, 阻挠, 阻碍"
seminal,"a. 精液的, 种子的, 生殖的
"
authoritarian,"a. 独裁的, 独裁主义的"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
tepid,"a. 微温的, 温热的, 不太热烈的
"
malodor,n. 恶臭
senescence,"n. 老朽, 衰老
"
decrepitude,"n. 衰老, 老朽"
self-styled,"a. 自称的, 自任的"
cognizant,"a. 察知的, 认识到的, 有认识能力的
"
conversant,"a. 熟悉的, 亲近的, 有交情的"
tribulation,"n. 苦难, 困苦, 苦难的缘由"
open-ended, 开路型
falsify,"vt. 伪造, 歪曲
vi. 说谎"
panorama,"n. 全景, 全貌, 概论, 范围"
beleaguer,"vt. 围, 围攻"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
hermetic,"a. 奥妙的, 密封的, 不透气的, 不漏气的, 与外界隔绝的
"
encapsulate,"vt. 装入胶囊, 封进内部, 压缩
vi. 做成胶囊"
interdisciplinary,[计] 学科间的
impunity,"n. 不受惩罚, 无事, 无患
"
reprisal,"n. 报复, 报仇, 报复性劫掠
"
myopic,a. [眼科]近视的；目光短浅的
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
sublime,"a. 高尚的, 壮观的, 卓越的
v. 提高, (使)变高尚, (使)纯化, (使)升华
n. 庄严, 崇高, 顶点"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
commiserate,"v. 怜悯, 同情"
expostulate,"vi. 劝诫, 告诫；忠告"
anneal,"vt. 使退火
"
vicissitude,"n. 变化无常, 变迁, 荣枯, 盛衰"
piecemeal,"adv. 一件一件地, 逐个地, 零碎地
a. 一片一片的, 逐渐的, 零碎的
n. 断片"
verbose,"a. 用字多的, 冗长的, 累赘的
"
polyglot,"a. (使用)多种语言的, 多种文字对照的
n. 使用多种语言的人, 多种文字对照本"
machination,"n. 阴谋, 图谋, 策划
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
nefarious,"a. 恶毒的, 极坏的"
lachrymose,"a. 爱哭的, 悲哀的"
enmity,"n. 敌意, 憎恨"
indignant,"a. 愤怒的, 愤慨的"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
minutia,"n. 细节, 琐事"
commensurable,"a. 可公度的, 可通约的, 有公度的, 相应的, 相称的"
discriminatory,"a. 有辨识力的, 有差别的"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
commend,"vt. 嘉奖, 委托给, 推荐"
gossamer,"n. 小蜘蛛网, 蛛丝, 薄纱
a. 薄弱的, 轻飘飘的"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
rectitude,"n. 正直, 纯正, 正确
"
enamor,"vt. 迷住, 使迷恋"
immure,"vt. 监禁, 禁闭"
impudent,"a. 鲁莽的, 卑鄙的, 厚颜无耻的"
insolent,"n. 侮慢无礼的人
a. 粗野的, 无礼的, 侮慢的"
irenic,"a. 促使和解的, 有助于和平的, 和平的"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
coruscate,"vi. 闪烁, 熠熠生辉, 焕发"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
strident,"a. 刺耳的, 吱吱尖叫的, 尖锐的, 刺眼的
"
muckrake,"n. 揭发丑闻
vi. 探听丑闻, 揭发丑闻"
proffer,"vt. 提供, 贡献, 提议
n. 提供, 提议"
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
predicate,"n. 谓语, 谓项
a. 谓语的
vt. 断定为, 使基于, 意味着, 预言
vi. 断言
"
prophylactic,"a. 预防性的
n. 预防药, 预防法, 避孕用品"
pilfer,"v. 盗取, 小偷小摸, 剽窃"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
imbibe,"vt. 饮, 吸取, 吸入
vi. 喝, 吸收水分"
quaff,"v. 狂饮, 大口地喝
n. 大口喝下的酒, 痛饮"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
disintegrate,"vt. (使)分解, (使)碎裂
"
brook,"n. 小溪
vt. 容忍"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
unerring,"a. 不犯错误的, 无过失的, 没有打歪的
"
provenance,"n. 起源, 出处"
inscrutable,"a. 难以了解的, 不能预测的
"
genial,"a. 和蔼的, 亲切的, 友善的
"
reluctant,"a. 不情愿的, 勉强的
"
supple,"a. 柔软的, 逢迎的, 顺从的
vt. 使柔软, 使顺从"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
ungainly,"a. 难看的, 不优雅的, 粗陋的"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
dispatch,"vt. 派遣
n. 派遣, 急件
"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
limpid,"a. 清澈的, 透明的, 平静的"
forsake,"vt. 放弃, 断念, 抛弃
"
exonerate,"vt. 免除, 证明无罪
"
annihilate,"vt. 消灭, 废止"
surmise,"n. 推测, 猜测
v. 推测, 臆测"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
exert,"vt. 发挥, 运用, 施以影响
"
wield,"vt. 挥舞, 运用"
guzzle,"v. 狂饮, 暴食, 喝酒化掉(钱)"
kinfolk,"[法] 家属, 亲属, 亲戚"
divergent,"a. 有分歧的
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
profusion,"n. 大量, 慷慨, 挥霍, 充沛, 浪费"
forebode,"v. 预示, 预兆, 预感"
calamity,"n. 灾难, 不幸事件"
beget,"vt. 为某人之生父, 招致, 产生, 引起"
reprehensible,"a. 应斥责的, 应该谴责的
"
divest,"vt. 使摆脱, 使脱去, 夺去
"
wondrous,a. 令人惊奇的
recalcitrant,"a. 反抗的, 反对的, 顽抗的
n. 反抗者, 顽抗者"
succinct,"a. 简洁的, 紧缩的"
recrudescent,"a. 复发的
"
frugal,"a. 节俭的, 朴素的"
unseemly,"a. 不合适的, 不适宜的, 不得体的"
preternatural,"a. 超自然的, 异常的"
provident,"a. 有先见之明的, 有远虑的, 节俭的"
interlope,"vi. 闯入, 干涉, 无执照营业
"
coterie,"n. 同人, 圈内人, 小集团"
aplomb,"n. 沉着, 泰然自若, 垂直"
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
exposé,无
reticent,"a. 无言的, 沉默的, 不情愿的
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
expurgate,"vt. 删除, 修订, 使纯洁"
triumvirate,"n. 三执政, 三头统治, 三人执政之职"
indefatigable,"a. 不知疲倦的, 有耐性的, 不屈不挠的"
paean,"n. 凯歌, 欢乐歌, 赞美歌"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
potent,"a. 有力的, 有说服力的, 有效的
"
lopsided,"a. 倾向一方的, 不平衡的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
unalloyed,"a. 未搀杂的, 纯粹的, 非合金的"
spew,"vi. 呕吐, 喷涌
vt. 呕出, 喷
n. 呕吐物, 喷涌物"
maze,"n. 迷宫, 迷惘
vt. 使迷惘, 使混乱, 迷失"
misfeasance,"n. 不当行为, 行为失检, 侵犯他人权利的行为
"
rebellious,"a. 造反的, 反抗的
"
durable,"a. 持久的, 耐用的"
varnish,"n. 清漆, 虚饰, 光泽的表面
vt. 粉饰, 涂清漆于, 装饰, 使有光泽"
labyrinthine,[医] 迷路的
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
platitude,"n. 单调, 平凡, 陈腐, 陈词滥调"
exclusive,"a. 排外的, 独占的, 唯一的
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
meld,"v. 混合, 合并"
tremendous,"a. 巨大的, 非常的, 可怕的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
concise,"a. 简洁的, 简明的"
oracle,"n. 神谕, 神谕处, 预言"
extenuate,"vt. 减轻, 为...找借口
"
viable,"a. 能养活的, 能生长发育的
"
midst,"n. 中间
prep. 在...中间"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
cliché,无
contiguous,"a. 邻近的, 接近的
"
endanger,"vt. 危及
"
boorish,"a. 粗野的, 粗鄙的"
high-minded,"高尚的气概,
宽宏的度量"
de-emphasize,"v. 降低…重要性；不再加以强调
"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
quandary,"n. 困惑, 迷惑, 为难"
ploy,"n. 手段, 活动, 玩乐"
temptation,"n. 诱惑, 诱惑物
"
oppressive,"a. 压制性的, 压迫的, 沉重的"
hyperbole,n. 夸张法
trickster,"n. 骗子, 魔术师
"
genteel,"a. 有教养的, 上流的, 优雅的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
deduce,"vt. 推论, 演绎出
"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
neutralize,"vt. 使中立, 使成中立地带, 使中和, 抵销
vi. 中立化, 变无效, 中和"
controvert,"vt. 议论, 辩驳, 驳击
vi. 参加辩论"
succumb,"vi. 屈从, 屈服, 死"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
paraphernalia,n. 随身用具
cast-iron,"铸铁
"
detritus,"n. 碎石
"
rivalry,"n. 竞争, 对抗
"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
avant-garde,"n. 前卫; 先锋
adj. 前卫的"
stipulate,"v. 规定, 保证"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
leach,"vt. 过滤, 萃取
vi. 滤掉
n. 过滤, 过滤器, 沥出物"
brackish,"a. 有盐味的, 令人不快的
"
malodorous,a. 有恶臭的
redolent,"a. 芬芳的, 有...香味的, 令人想起...的"
noisome,"a. 有害的, 恶臭的, 有毒的, 可厌的, 令人不快的"
adjudicate,"v. 判决, 宣告, 裁定"
eschew,"vt. 避开, 远避"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
auspicious,"a. 吉兆的, 幸运的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
bootless,"a. 无用的, 无益的
"
posit,"vt. 假设, 安置, 布置"
accrete,"vi. 连生, 合生, 附依
vt. 使依附, 使连接
a. 合生的"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
abound,"vi. 大量存在, 富于, 充满"
subsequent,"a. 后来的, 接下去的
"
heretofore,"adv. 直到此时, 此时以前, 迄今"
preponderance,"n. 优势, 多数
"
uncompromising,"a. 不让步的, 不妥协的, 坚定的
"
moralistic,"a. 道德家的, 说教的, 道德主义的"
benevolent,"a. 善意的, 慈善的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
stalemate,"n. 僵持状态, 僵局, 陷于困境, 胶着状况
vt. 将...逼和, 使僵持, 使陷入困境"
insatiable,"a. 不知足的, 贪求无厌的
"
snappish,"a. 要咬人的, 厉声说话的, 没好气的"
peccadillo,"n. 轻罪, 小过, 小瑕疵"
reparation,"n. 补偿, 赔偿, 弥补, 修复, 修理
"
inextricable,"a. 逃脱不掉的, 解不开的, 无法解决的"
impregnable,"a. 无法攻取的, 坚强不屈的, 驳不倒的"
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
supplant,"vt. 排挤掉, 代替"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
beset,"vt. 围绕, 使苦恼, 镶嵌"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
offish,"a. 不亲热的, 冷漠的, 疏远的, 健康较差的"
jockey,"n. 赛马骑师, 驾驶员, 操作工
vt. 骗, 瞒, 驾驶, 移动
vi. 当赛马的骑师"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
shortcut,"n. 捷径, 最短路线
"
jubilant,"a. 欢呼的, 喜洋洋的"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
controversial,"a. 争论的, 论争的, 被议论的"
seamy,"a. 露出线缝的, 丑恶的"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
disproportionate,a. 不成比例的
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
outdo,"vt. 超越, 胜过, 战胜"
abash,"vt. 使不安, 使羞愧, 使困窘"
unexceptional,"a. 非例外的, 平常的, 不特别的, 不容许有例外的"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
impasse,"n. 难局, 僵局, 死路, 死胡同"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
decode,"vt. 解码, 译解
"
vagary,"n. 狂想, 奇特行为, 奇想"
evangelist,"n. 福音传道者, 圣经新约福音书的作者"
pedigree,"n. 血统, 家谱, 名门世系
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
enforce,"vt. 强迫, 执行, 坚持
"
amid,"prep. 在其间, 在其中
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
imperil,"vt. 使处于危险, 危害"
piety,"n. 虔诚, 孝敬, 虔诚的行为"
flair,"n. 鉴别力, 才能, 天资, 资质, 眼光"
braggadocio,"n. 自夸, 吹牛大王"
hurtle,"vi. 猛冲, 碰撞, 突进
vt. 猛撞, 猛投
n. 投掷, 碰撞, 碰撞声"
