the,art. 那
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
pleased,"a. 高兴的, 喜欢的, 满足的"
medal,"n. 奖牌, 勋章
vt. 授勋予"
beg,"v. 乞求, 乞讨, 请求"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
ethical,"a. 伦理的, 民族的, 民族特有的
"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
experimental,"a. 实验的, 根据实验的
"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
integrity,"n. 正直, 廉正, 完整
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
evident,"a. 显然的, 明显的"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
essence,"n. 实质, 本质, 香精
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
exclude,"vt. 除外, 排除, 排斥
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
corridor,"n. 走廊, 回廊, 人口密集地带"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
pitcher,"n. 有把的大罐, 瓶状体, 投手, 摊贩"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
weakness,"n. 虚弱, 薄弱, 弱点
"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
classical,"a. 古典的, 正统派的, 经典的
"
estimated,a. 估算的；估计的；预计的
T-shirt,"短袖运动衫,短袖汗衫"
online,[计] 联机
unemployment,"n. 失业, 失业人数
"
civilization,"n. 文明, 教化
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
missing,"a. 不见的, 缺少的
"
correlation,"n. 相互关系, 相关, 关联
"
humanity,"n. 人性, 人类, 博爱"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
developer,"n. 开发者
"
reliable,"a. 可靠的, 可信赖的
"
excitement,"n. 刺激, 兴奋
"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
Islam,n. 伊斯兰教
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
architecture,"n. 建筑学, 建筑式样
"
occasional,"a. 偶然的, 临时的
"
administrative,"a. 管理的, 行政的
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
Hispanic,adj. 西班牙的
allegation,"n. 断言, 主张, 申辩
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
airplane,"n. 飞机
"
monthly,"n. 月刊
a. 每月的, 每月一次的"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
Korean,"n. 朝鲜人, 朝鲜语
a. 朝鲜人的, 朝鲜语的"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
sixth,"num. 第六, 六分之一"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
mainstream,n. 主流
suburb,"n. 市郊住宅区, 郊区, 边缘"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
rumor,"n. 谣言, 传闻
vt. 谣传"
implementation,"n. 安装启用, 实行, 履行
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
longtime,"a. (已持续)长时间的,为时甚久的
adv. 长久"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
restrict,"vt. 限制, 限定, 约束
"
cloth,"n. 布料, 织品, 布
"
seemingly,"adv. 看来似乎, 表面上看来"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
effectiveness,"n. 效力
"
enforce,"vt. 强迫, 执行, 坚持
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
inspector,"n. 检查员, 巡视员
"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
frankly,adv. 坦白地
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
hallway,n. 门厅；玄关；走廊
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
inevitable,"a. 不可避免的, 必然的
"
southwest,"n. 西南, 西南方, 西南地区
a. 西南的, 来自西南方的
adv. 往西南, 来自西南"
monster,"n. 怪物, 恶人, 巨物
"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
unexpected,"a. 料想不到的, 突然的, 意外的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
facilitate,"vt. 使容易, 促进, 帮助
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
herb,"n. 药草, 香草
"
overwhelming,"a. 压倒性的, 无法抵抗的"
integration,"n. 综合, 与环境协调的行为, 集成
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
recession,"n. 后退, 凹处, 衰退, 归还
"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
written,"a. 书面的, 写成文字的
write的过去分词"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
ownership,"n. 所有权, 物主身份
"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
inspection,"n. 检验, 检查, 视察
"
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
arena,"n. 角斗场, 舞台, 场地
"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
diagnosis,"n. 诊断
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
forgive,"vt. 原谅, 宽恕, 免除
"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
basement,"n. 地下室, 墙脚
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
prosecution,"n. 执行, 经营, 起诉"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
announcement,"n. 公告, 发表, 告知
"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
prediction,"n. 预言, 预报
"
bacteria,"pl. 细菌
"
questionnaire,"n. 调查表, 问卷
"
mud,"n. 泥, 诽谤
vt. 弄脏"
infrastructure,"n. 基础结构, 基础设施
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
outdoor,"a. 户外的, 屋外的, 露天的"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
and/or,conj. 及（或）
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
wrist,"n. 手腕, 腕关节
"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
pond,"n. 池塘
v. 筑成池塘"
domain,"n. 领域, 领土, 产业, 范围
"
guilt,"n. 罪行, 内疚
"
cattle,"n. 牛, 家畜
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
walking,"n. 步行, 步态
a. 步行的, 步行用的"
playoff,n. 双方得分相等时的最后决赛；复赛；季后赛
minimum,"a. 最小的, 最低的
n. 最小值
"
fiscal,"a. 财政的, 国库的
"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
hence,"adv. 因此, 从此"
database,"n. 数据库
"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
continuing,"a. 继续的, 持续的, 连续的
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
railroad,"n. 铁路, 铁路公司
vt. 铺设铁路, 用铁路运输
vi. 在铁路工作"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
radiation,"n. 辐射
"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
innovation,"n. 改革, 创新
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
guitar,n. 吉他
replacement,"n. 归还, 更换, 代替者
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
dancer,"n. 舞蹈演员, 跳舞者"
amendment,"n. 修订, 改善, 改良, 改正
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
transmission,"n. 传输, 传送, 变速器
"
await,"vt. 等候
vi. 等待着"
retired,"a. 隐退的, 退休的, 退役的
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
response,"n. 反应, 回答, 响应
"
colony,"n. 殖民地, 移民队
"
adoption,"n. 采用, 采纳, 收养
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
indigenous,"a. 本土的, 国产的, 固有的
"
closed,"a. 关闭的, 限于少数人的
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
towel,"n. 手巾, 毛巾
v. 擦干身子"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
landing,"n. 登陆, 码头, 降落
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
European,"n. 欧洲人
a. 欧洲的, 欧洲人的"
drunk,"a. 喝醉了的
drink的过去式"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
separation,"n. 分离, 分居, 缺口, 退职
"
traditionally,adv. 传统上；传说上；习惯上
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
govern,"v. 统治, 支配, 管理"
southeast,"n. 东南, 东南地区
a. 东南的, 向东南的, 来自东南的
adv. 往东南, 来自东南"
intelligent,"a. 聪明的, 智能的, 了解的"
wherever,adv. 无论哪里
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
convinced,"a. 确信的, 深信的"
driving,"n. 赶, 操纵, 驾驶
a. 推进的, 强劲的, 精力旺盛的"
vitamin,"n. 维生素
"
enthusiasm,"n. 巨大的热情, 热心"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
injure,"vt. 伤害, 损害, 使受冤屈
"
wilderness,"n. 荒野, 荒地, 大量"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
endless,"a. 不停的, 无穷尽的, 无尽的
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
chaos,"n. 大混乱, 混沌
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
mechanical,"a. 机械的, 机械性的, 力学的
"
canvas,"n. 帆布, 画布, 油画
"
forty,"num. 四十, 四十个"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
trait,"n. 特征, 特性, 一笔, 少许"
currency,"n. 货币, 通货, 流通, 通用
"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
astronomer,n. 天文学家
corruption,"n. 腐败, 堕落, 贪污
"
contractor,"n. 立契约的人, 承包商
"
apologize,"vi. 道歉, 辩解"
doctrine,"n. 教条, 学说
"
genuine,"a. 真正的, 真实的, 诚恳的
"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
unity,"n. 一致, 联合, 单一(性), 个体
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
behavioral,a. 行为的
exclusive,"a. 排外的, 独占的, 唯一的
"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
commonly,"adv. 一般, 普通, 通常"
convey,"vt. 传达, 运输, 转让
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
complexity,"n. 复杂, 复杂性, 复杂的事物"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
disk,"n. 圆盘, 磁盘
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
meaningful,a. 意味深长的
sidewalk,n. 人行道
Olympics,n. 奥林匹克运动会
technological,"a. 技术的
"
signature,"n. 签字, 识别标志, 调号
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
spouse,n. 配偶
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
sodium,"n. 钠
"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
promotion,"n. 晋级, 创建, 增进
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
forehead,"n. 额, 前额, 前部
"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
electrical,"a. 电的, 有关电的
"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
detective,"n. 侦探
a. 侦探的"
