criticize,"v. 批评, 吹毛求疵, 非难"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
inherent,"a. 固有的, 与生俱来的
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
negotiation,"n. 谈判, 磋商, 交涉
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
status,"n. 状态, 情形, 地位, 要人身份
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
coalition,"n. 结合体, 结合, 联合
"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
nut,"n. 坚果, 核心, 螺帽
"
ingredient,"n. 成分, 因素
"
moisturizer,n. 润肤霜; 保湿霜
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
infect,"vt. 传染, 感染
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
allegedly,adv. 依其申述
retiree,"n. 退休人员, 退休者
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
hostility,"n. 敌意, 敌对, 反对"
proposal,"n. 提议, 计划, 求婚
"
toxic,"a. 有毒的, 中毒的
"
implication,"n. 牵连, 含义, 暗示
"
diplomatic,"a. 外交的, 老练的
"
ultimatum,"n. 最后通牒, 基本原理
"
take place,"na. 发生；举行
"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
targeted, [医]定向的
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
versatile,"a. 多才多艺的, 万用的, 万向的"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
liberate,"vt. 解放, 释放, 使自由
"
accustomed,"a. 惯常的, 习惯了的"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
infer,"vt. 推论出, 推断
vi. 作推论"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
mythologist,"n. 神话学者, 神话作者"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
triumphant,"a. 得胜的, 得意洋洋的"
upbeat,"n. 弱拍, 上升, 兴旺
a. 上升的, 乐观的"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
scattered,"a. 分散的, 散乱的
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
temperature,"n. 温度, 发烧, 热度
"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
property,"n. 财产, 所有权, 性质, 属性
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
rather,"adv. 宁可, 稍微, 相当"
kingdom,"n. 王国, 领域
"
notoriously,"adv. 臭名昭著的, 声名狼藉的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
congress,"n. 国会, 会议, 讨论会
"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
constrained,"a. 被强迫的, 被约束的, 不舒服的"
breakdown,"n. 崩溃, 故障
"
department,"n. 部门, 系, 机关
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
tenure,"n. 享有, 保有期
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
controversial,"a. 争论的, 论争的, 被议论的"
departure,"n. 离开, 出发, 违背, 偏离
"
curator,"n. 管理者, 经理, 主管人, 掌管者, 馆长, 大学学监, 监护人, 保护人
"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
allocate,"vt. 分派, 分配
"
bonus,"n. 奖金, 红利
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
calculate,"v. 计算, 预测, 计划, 打算"
take account of,考虑
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
concession,"n. 特许, 让步, 认可
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
emigrate,"v. (使)移居, (使)移民"
choking,"a. 窒息的, 气闷的, 透不过气来的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
domestic,"a. 家庭的, 国内的, 驯养的
"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
update,"vt. 更新, 使现代化
n. 更新
"
latter,"a. 后者的, 较后的, 近来的"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
nomination,"n. 提名, 任命, 提名权"
Democrat,"n. 民主人士, 民主主义者, 民主党党员
"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
provoke,"vt. 激怒, 惹起, 诱导
"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
colleague,"n. 同事, 同僚"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
smoothly,"adv. 平滑地, 流畅地, 流利地"
intuitively,[计] 直觉地
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
dealer,"n. 经销商, 商人
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
matron,"n. 妇女, 主妇, 女总管
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
journal,"n. 日记, 杂志, 日报
"
overhear,"vt. 无意中听到, 偷听"
typically,adv. 代表性地；作为特色地
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
jittery,a. 极度紧张不安的
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
evidently,"adv. 明显地, 根据现有证据来看"
awful,"a. 可怕的, 庄严的, 虔敬的"
assign,"vt. 分配, 指派, 赋值
"
practitioner,"n. 从业者, 开业者
"
ultrasound,"n. 超声
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
fever,"n. 发烧, 发热, 热病
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
amiable,"a. 亲切的, 和蔼可亲的
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
explicitly,adv. 明确地；明白地
liability,"n. 责任, 债务, 倾向
"
agreeable,"a. 令人愉快的, 同意的
"
headliner,n. (报纸)写标题的记者
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
notably,"adv. 显著地, 著名地, 尤其, 特别"
delectable,"a. 令人快乐的, 美味的, 使人愉快的"
preferable,"a. 更可取的, 更好的, 更合意的"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
transparent,"a. 透明的, 显然的, 清晰的
"
verifiable,"a. 可核实的, 可证实的
"
criterion,"n. 标准, 准则, 规范
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
election,"n. 选举, 当选, 选择权
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
prohibit,"vt. 禁止, 阻止
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
hurricane,"n. 飓风, 暴风, 暴风雨"
briefing,"n. 简报
"
headquarters,"n. 总部, 司令部, 总部人员
"
guideline,"n. 指导路线, 方针, 指标
"
disclose,"vt. 揭露, 透露
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
concise,"a. 简洁的, 简明的"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
specialized,"a. 专门的, 特别的, 专科的, 特化的, 专化的
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
adequately,"adv. 足够地, 适当地"
enforce,"vt. 强迫, 执行, 坚持
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
troublesome,"a. 麻烦的, 令人讨厌的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
psychologist,"n. 心理学家
"
inertia,"n. 惯性, 惰性, 迟钝
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
existential,a. 有关存在的
innumerable,"a. 无数的, 数不清的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
collaborate,"vi. 合作, 勾结
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
cite,"vt. 引用, 引证, 表彰
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
afterward,"adv. 然后, 后来"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
literary,"a. 文学的, 文艺的, 精通文学的
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
bazaar,"n. 集市, 市场, 义卖市场"
ministry,"n. 部, 内阁, 服务
"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
denounce,"vt. 告发, 抨击, 谴责
"
exclusive,"a. 排外的, 独占的, 唯一的
"
boycott,"n. 联合抵制
vt. 联合抵制"
unconstitutional,"a. 违反宪法的, 不符合宪法的
"
clause,"n. 子句, 条款
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
democracy,"n. 民主政治, 民主主义
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
lately,"adv. 近来, 最近"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
subsequent,"a. 后来的, 接下去的
"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
frenetic,"a. 发狂的, 狂热的
n. 发狂者"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
fiction,"n. 小说, 虚构故事
"
aspirant,"n. 怀抱大志者, 野心家
a. 上进的, 有野心的"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
evaluation,"n. 评估, 估价, 求值
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
deport,"vt. 举止, 驱逐出境
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
appoint,"vt. 任命, 指定, 下令
"
successor,"n. 继承者, 接任者
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
beneficial,"a. 有益的, 受益的
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
clamp,"n. 夹钳
vt. 夹紧, 强加"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
expression,"n. 表达, 表现, 词语, 措辞
"
eventually,"adv. 最后, 终于"
concede,"vt. 承认, 退让
vi. 让步"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
chunk,"n. 大块, 矮胖的人(或物)
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
due to,"由于, 应归于"
diversion,"n. 转移
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
infection,"n. 传染, 影响, 传染病
"
poultry,n. 家禽
circulate,"v. (使)流通, (使)循环, (使)传播"
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
entity,"n. 实体, 实存物, 存在
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
artist,"n. 艺术家, 画家"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
conman,[法] 骗子
midst,"n. 中间
prep. 在...中间"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
analysis,"n. 分析
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
masterpiece,"n. 杰作, 名著"
poetry,"n. 诗, 韵文, 诗歌艺术"
rival,"n. 对手, 竞争者
a. 竞争的"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
mixture,"n. 混合, 混淆, 混合物
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
solar,"a. 太阳的, 日光的, 源自太阳的
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
portray,"vt. 描绘, 描写, 描绘...的肖像"
flair,"n. 鉴别力, 才能, 天资, 资质, 眼光"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
myth,"n. 神话, 虚构的事, 虚构的人"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
uncontaminated,"a. 没有被污染的, 未沾染的"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
comply,"vi. 顺从, 依从
"
emission,"n. 发射, 射出, 发行
"
in addition,另外
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
extrovert,"n. 外向性格的人
"
inhibited,"a. 抑制情感的, 约束行动的
"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
distinctive,"a. 有特色的, 出众的"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
neuron,"n. 神经原, 轴索, 神经细胞
"
cell,"n. 单元, 细胞, 电池
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
gravity,"n. 地心引力, 重力
"
fluctuation,"n. 变动, 波动, 动摇
"
density,"n. 密度
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
municipal,"a. 市政的, 自治区的, 内政的
"
rubbish,"n. 废物, 垃圾, 胡说"
expense,"n. 费用, 代价, 开支, 损失
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
unevenly,adv. 不平坦地；不均衡地；不平行地
partially,"adv. 部分地, 一部分地, 不公平地"
mud,"n. 泥, 诽谤
vt. 弄脏"
ascertain,"vt. 确定, 查明
"
burglary,"n. 夜盗行为, 盗窃, 盗窃行为
"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
crime,"n. 犯罪, 罪行, 罪恶
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
cull,"vt. 采, 摘, 拣
n. 拣出的等外品, 被剔出的动物"
forthcoming,"a. 即将来临的
n. 来临"
documentary,"n. 记录片
a. 文件的"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
continued,"a. 继续的, 延续的
"
milestone,"n. 里程碑, 里程石, 里程标"
haste,"n. 匆忙, 急忙"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
insure,"vt. 保险, 确保
vi. 投保"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
quibble,"n. 遁词, 双关语
vi. 吹毛求疵, 争吵, 说模棱两可的话
vt. 对...诡辩"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
enrollment,"n. 登记, 注册, 入伍
"
ammunition,"n. 军火, 弹药
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
showdown,"n. 摊牌, 暴露, 紧要关头"
elementary,"a. 初步的, 基本的
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
consequently,adv. 所以
defense,"n. 防卫, 防卫物
"
training,"n. 训练, 培养
"
advisor,"n. 顾问, 劝告者, 指导教师"
cohesively,adv. 黏合地；聚合在一起地；团结地
counterpart,"n. 副本, 复本, 配对物, 相应物
"
complaint,"n. 诉苦, 抱怨, 控诉
"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
compile,"vt. 编译, 编辑, 编纂, 收集
"
database,"n. 数据库
"
embassy,"n. 大使馆, 大使馆全体人员
"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
prohibition,"n. 禁令, 禁止"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
beware,"v. 小心, 谨防"
deem,"v. 认为, 相信"
sophisticated,"a. 复杂的, 久经世故的
"
underwhelming,a. （响应或回应）不热烈的
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
suspension,"n. 悬挂, 暂停, 中止
"
