able,"a. 能干的, 能够的"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
retract,"v. 缩回, 收回, 取消, 撤消"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
complexion,"n. 肤色, 情况, 局面
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
concision,"n. 切断, 简明, 简洁"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
tribute,"n. 贡物, 礼物, 颂辞"
comprise,"vt. 包含, 构成"
compulsion,"n. 强迫, 强制
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
concede,"vt. 承认, 退让
vi. 让步"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
concur,"vi. 同意, 一致, 同时发生
"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
consecutive,"a. 连续的, 联贯的
"
consecution,"n. 连续, 推理, 条理"
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
intermittent,"a. 间歇的, 断断续续的
"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
eternal,"a. 永恒的, 永远的, 不灭的"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
conscribe,"vt. 征召入伍, 招募"
conscript,"a. 被征入伍的, 被征召的
n. 征兵
vt. 征召"
corps,"n. 军, 队, 部队, 兵种
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
console,"vt. 安慰, 藉慰
n. 控制台
"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
contrive,"v. 发明, 设计, 图谋"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
meditation,"n. 沉思, 冥想"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
controvert,"vt. 议论, 辩驳, 驳击
vi. 参加辩论"
refute,"vt. 反驳, 驳斥；驳倒"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
denounce,"vt. 告发, 抨击, 谴责
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
misdeed,"n. 罪行, 犯罪
"
copyright,"n. 版权, 著作权
"
cord,"n. 绳索, 束缚
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
cosy,"a. 温暖舒适的
n. 保暖套"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
coward,"n. 懦弱的人, 胆小的人"
timid,"a. 胆小的, 羞怯的"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
remount,"vi. 再骑上, 回溯
vt. 再登, 重镶上"
surmount,"vt. 战胜, 超越, 克服"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
deform,"vt. 使残缺, 使变形
vi. 变形"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
jewelry,"n. 珠宝, 珠宝类"
necklace,n. 项链
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
ruby,"n. 红宝石, 深红色
a. 红宝石色的, 深红色的
vt. 使带红宝石色
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
ore,"n. 矿石
"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
quartz,"n. 石英
"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
rug,"n. 小块地毯, 揭露某人"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
solar,"a. 太阳的, 日光的, 源自太阳的
"
sunrise,"n. 日出, 黎明, 拂晓"
sunset,"n. 日落, 晚年"
sunshine,"n. 阳光, 光明, 晴天"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
deduct,"vt. 扣除, 减去
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
deficit,"n. 赤字, 不足额
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
delimit,"vt. 定界限, 划界
"
denial,"n. 否认
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
unacceptable,"a. 无法接受的, 不受欢迎的
"
depletion,"n. 消耗, 耗尽, 放血
"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
nominate,"vt. 提名, 任命, 命名
"
depreciate,"vi. 贬值
vt. 降价, 贬低"
devaluation,"n. 降低价值, 贬值
"
detain,"vt. 扣留, 扣押, 耽搁
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
discreet,"a. 小心的, 慎重的"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
despatch,"v. 派遣
n. 派遣"
dispatch,"vt. 派遣
n. 派遣, 急件
"
disorient,"vt. 使失去方向, 使迷惑"
dispel,"vt. 驱散, 驱逐"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
eject,"vt. 逐放, 放逐, 喷射
"
evacuate,"v. 疏散, 撤出, 排泄"
displace,"vt. 移置, 替换, 转移"
relocate,"vt. 重新安置, 再配置, 放在新地方
"
immigrate,"vt. 使移居入境
vi. 移入"
disuse,"n. 不被使用, 废弃
vt. 停止使用, 废止"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
trash,"n. 垃圾, 废物
vt. 丢弃"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
dorm,n. 宿舍
dormitory,n. 宿舍
dormant,"a. 睡眠状态的, 静止的
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
drainage,"n. 排水
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
drip,"n. 水滴
v. (使)滴下"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
guitar,n. 吉他
violin,n. 小提琴
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
dual,"a. 双重的, 双的
n. 双数"
duplex,"a. 双的, 复式的, 双联的, 二重的, 二倍的
"
twofold,"a. 两倍的, 两重的
adv. 两倍地, 两重地"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
threefold,"a. 三倍的, 三重的
adv. 三倍地, 三重地"
duct,"n. 管, 输送管
vt. 通过管道输送"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
plumber,"n. 水管工人
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
ecology,"n. 生态学, 社会生态学
"
physiology,"n. 生理学, 生理机能
"
psychiatry,"n. 精神病学, 精神病治疗
"
microbiologist,[医] 微生物学家
microprocessor,"n. 微处理器
"
submicroscopic,"a. 亚微观的, 普通显微镜下看不出的
"
macrostructure,"n. 宏观结构
"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
ego,"n. 自我
"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
empower,"vt. 授予权力, 允许, 使能够
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
uninhibited,"a. 不受禁令约束的, 不受拘束的, 自由自在的, 随心所欲的, 大吵大闹的
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
encyclopedia,n. 百科全书
bibliography,"n. 参考书目
"
legible,"a. 清晰的, 易读的"
endanger,"vt. 危及
"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
salvation,"n. 拯救, 救助, 救世"
endow,"vt. 捐赠, 捐助, 赋予
"
impart,"vt. 给予, 传授, 告知"
impartible,"a. 不可分的, 不能分割的
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
entity,"n. 实体, 实存物, 存在
"
equator,"n. 赤道
"
tropic,n. 回归线
longitude,"n. 经度, 经线
"
equivalence,"n. 同等, 等价, 等值
"
outnumber,"vt. 数目超过, 比...多"
transcend,"vt. 超越, 胜过"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
esthetic,"a. 审美的
"
exquisite,"a. 精致的, 细腻的, 敏锐的"
gorgeous,"a. 华丽的, 灿烂的"
evacuation,"n. 撤退, 疏散
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
distill,"vt. 蒸馏
vi. 滴下"
excerpt,"n. 摘录
v. 引用, 摘录"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
transcript,"n. 抄本, 副本, 成绩单
"
scribe,"n. 文书, 抄写员, 划线器
vi. 担任抄写员
vt. 用划线器划"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
excursion,"n. 远足, 游览圆, 短程旅行
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
motel,n. 汽车旅馆
pub,"n. 酒馆, 客栈"
excursive,"a. 游览的, 离题的, 散漫的
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
expedition,"n. 远征, 探险队, 迅速"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
inward,"a. 内心的, 向内的, 本来的
"
inwards,"adv. 在内部, 向中心, 向内, 内里
"
underneath,"adv. 在下面
prep. 在...的下面"
extracurriculum,"a. 课程以外的, 业余的"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
fairy,"n. 仙女, 精灵
a. 仙女的"
facile,"a. 容易的, 灵巧的, 温和的"
facilitate,"vt. 使容易, 促进, 帮助
"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
ingenuous,"a. 坦白的, 正直的, 天真的"
naive,"a. 天真的, 纯真的, 幼稚的"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
farfetched,"a. 牵强的, 靠不住的, 乱七八糟的"
rational,"a. 理性的, 合理的
n. 有理数"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
tiresome,"a. 累人的, 烦人的"
hatred,"n. 憎恨, 仇恨, 憎恶
"
fax,"n. 传真
vt. 发传真
"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
feminine,"a. 女性的, 阴性的, 柔弱的
"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
hostess,"n. 女主人, 女房东, 女老板"
landlady,"n. 女房东, 女地主"
mistress,"n. 主妇, 女主人, 情妇"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
fiber,"n. 纤维, 构造, 纤维制品
"
fibre,"n. 纤维, 构造, 纤维制品
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
nylon,"n. 尼龙
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
velvet,"n. 天鹅绒
a. 天鹅绒的"
fireplace,n. 壁炉
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
oven,"n. 烤箱, 灶, 子宫
"
fixture,"n. 固定(状态), 固定物, 设备
"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
flu,"n. 流感, 流行性感冒"
pneumonia,"n. 肺炎
"
tumor,"n. 肿大, 肿块, 瘤, 赘生物, 肿瘤
"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
outflow,"n. 流出, 流出物
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
footstep,"n. 脚步, 脚步声, 足迹"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
forefather,n. 祖先
forehead,"n. 额, 前额, 前部
"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
herb,"n. 药草, 香草
"
odor,"n. 气味, 香味, 名声, 意味
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
friction,"n. 摩擦, 摩擦治疗, 不和
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
furious,"a. 狂怒的, 激烈的, 吵闹的"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
futile,"a. 无用的, 琐细的, 不重要的"
usability,"n. 可用性
"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
gage,"n. 抵押品, 挑战
vt. 以...为担保, 以...为赌注
n. 抵押品, 标准度量, 计量器
vt. 精确计量, 估计"
gasoline,"n. 汽油
"
tar,"n. 焦油, 柏油, 水手
vt. 涂以焦油, 玷污, 怂恿
a. 焦油的"
petroleum,"n. 石油
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
transfuse,"vt. 输血, 充满
"
gesticulate,"v. 用手势谈话, 用姿势表达"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
ski,"n. 滑雪橇
vi. 滑雪"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
grope,"v. 摸索
n. 摸索"
gymnasium,"n. 健身房, 体育馆
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
stadium,"n. 露天大型运动场
"
hardware,"n. 硬件, 五金器具, 零件
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
straw,"n. 稻草, 麦管, 吸管, 一文不值的东西, 草帽
a. 稻草的, 稻草色的, 琐碎的, 无价值的"
vegetation,"n. 植物
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
lawn,"n. 草地, 草坪, 上等细麻布
"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
reed,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
thorn,"n. 刺, 棘, 荆棘"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
oak,"n. 橡树, 橡木
a. 橡木制的"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
headquarters,"n. 总部, 司令部, 总部人员
"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
heir,"n. 继承人, 嗣子, 后嗣
"
lineage,"n. 血统, 直系
"
henceforth,"adv. 自此以后, 今后"
thereafter,"adv. 其后, 从那时以后"
highland,"n. 高地, 苏格兰高地"
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
ridge,"n. 脊, 山脊, 山脉
"
waterfall,n. 瀑布
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
horsepower,"n. 马力
"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
