enable,"vt. 使能够
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
infrastructure,"n. 基础结构, 基础设施
"
construction,"n. 建筑, 构造, 建筑物
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
instrument,"n. 工具, 手段, 仪器
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumer,"n. 消费者
"
consumption,"n. 消费, 消费量, 痨病
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
summarize,"v. 概述, 总结"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
immense,"a. 极广大的, 无边的, 非常好的"
tremendous,"a. 巨大的, 非常的, 可怕的"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
ensure,"vt. 确定, 保证, 担保, 保护
"
insure,"vt. 保险, 确保
vi. 投保"
insurance,"n. 保险, 保险业, 保险费
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
setback,"n. 挫折, 退步, 逆流"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
strategy,"n. 战略, 策略
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
strive,"vi. 努力, 奋斗, 斗争"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
surgeon,"n. 外科医生, 军医, 船医
"
surgery,"n. 外科, 手术, 手术室, 换球术"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
detach,"vt. 使分离, 分遣
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
attain,"vt. 达到, 获得
vi. 达到"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertainment,"n. 娱乐, 款待, 娱乐表演"
protect,"vt. 防卫, 保护, 警戒
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
detect,"vt. 发现, 察觉, 探测
"
detective,"n. 侦探
a. 侦探的"
detector,"n. 发现者, 检验器, 检波器
"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tendency,"n. 趋向, 倾向
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
tentative,"n. 试验
a. 试验性的, 暂时的"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
intend,"vt. 计划, 打算, 意思是
"
intention,"n. 意图, 目的, 含义
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extensive,"a. 广的, 广泛的, 多方面的
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extent,"n. 范围, 程度, 区域
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
testify,"v. 证明, 作证, 声明, 表明"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attractive,"a. 吸引人的, 有魅力的
"
distract,"vt. 转移, 分心, 使发狂"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
tedious,"a. 沉闷的, 冗长乏味的"
teenager,n. 十三岁到十九岁的少年
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
threat,"n. 恐吓, 恶兆, 威胁
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
tolerate,"vt. 宽容, 容许, 有耐力"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
typical,"a. 典型的, 象征性的
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
underestimate,"n. 低估
vt. 低估, 看轻"
undergo,"vt. 遭受, 经历, 忍受
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
utilize,vt. 利用
avoid,"vt. 避免, 防止, 撤消
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
vanish,"vi. 消失, 不见, 成为零"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
evaluate,"vt. 评估, 评价, 赋值"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
available,"a. 可利用的, 可获得的, 有效的
"
availability,"n. 有效性, 可利用性, 可利用的人
"
prevail,"vi. 获胜, 流行, 盛行
"
prevalent,"a. 普遍的, 流行的"
worth,"n. 价值, 财产
a. 值...的, 值得的"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
variation,"n. 变更, 变化, 变种, 变奏
"
variety,"n. 多样, 种类, 变种, 杂耍
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
eventually,"adv. 最后, 终于"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
adventure,"n. 冒险, 冒险经历
v. 冒险"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
convention,"n. 大会, 协定, 惯例, 约定
"
convenient,"a. 方便的, 合宜的
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
revenue,"n. 收入, 岁入, 税收, 税务局
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
inevitable,"a. 不可避免的, 必然的
"
version,"n. 一种描述, 版本, 译文
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
controversy,"n. 论争, 辩论, 论战, 争论
"
controversial,"a. 争论的, 论争的, 被议论的"
diverse,"a. 不同的, 变化多的"
universe,"n. 宇宙, 星系, (思想等)范围"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
convey,"vt. 传达, 运输, 转让
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
victim,"n. 受害人, 牺牲者, 牺牲品
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
evident,"a. 显然的, 明显的"
evidence,"n. 根据, 证据, 迹象
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
visual,"a. 视觉的
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
supervise,"v. 监督, 管理, 指导"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
vigor,"n. 精力, 活力"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vitamin,"n. 维生素
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
volcano,n. 火山
vehicle,"n. 交通工具, 车辆, 传播媒介
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
devote,"vt. 投入于, 献身"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
