accustom,vt. 使习惯于
infirm,"a. 弱的, 虚弱的, 柔弱的
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
globally,[计] 全局地
globalization,"[计] 全球化, 普及到世界范围"
anti-globalization,反全球化
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
imply,"vt. 暗示, 意味
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
indicative,"a. 指示的, 象征的, 表示...的
"
ineffective,"a. 无效的
"
inefficient,"a. 无效率的, 无能的
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inquire,"v. 询问, 问明, 查究"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invalidate,"vt. 使无效
"
invalidity,"n. 无效, 无价值, 病弱
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investor,"n. 投资者
"
investment,"n. 投资
"
disinvestment,"n. 蚀本, 投资减缩
"
irresistible,"a. 不可抵抗的, 不能压制的
"
item,"n. 项目, 条款, 一则, 项
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
merger,"n. 合并, 归并
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
minimum,"a. 最小的, 最低的
n. 最小值
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
monetary,"a. 货币的, 金钱的
"
monopolise,"vt. 垄断, 独占, 专营, 专利"
monopolize,"vt. 独占, 垄断
"
monopolization,"n. 独占, 专卖
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
mutual,"a. 相互的, 共有的
"
mutually,"adv. 互相地, 互助"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
negotiation,"n. 谈判, 磋商, 交涉
"
negotiator,"n. 磋商者, 交涉者, 议定者
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
payable,"a. 可付的, 到期的, 应付的, 有利益的
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
preference,"n. 偏爱, 优先, 喜爱物
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
quota,"n. 配额, 限额
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
quotation,"n. 引用语, 语录, 牌价, 报价
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
retailer,"n. 零售商人, 传播的人
"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
risky,a. 危险的
rival,"n. 对手, 竞争者
a. 竞争的"
setback,"n. 挫折, 退步, 逆流"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
soaring,"a. 高飞的, 翱翔的, 高耸入云的, 崇高的, 高涨的
"
speculate,"vi. 深思, 推测, 投机
"
speculation,"n. 沉思, 推测, 投机
"
speculative,"a. 思索性的, 投机的, 推测的
"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
steadily,"adv. 稳定地, 无变化地, 有规则地"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
subscriber,"n. 签署者, 捐献者, 订户
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
substantially,"adv. 实质上, 本质上, 大体上"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
additional,"a. 附加的, 另外的, 额外的
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advertising,"n. 广告业, 广告
a. 广告的
"
advertisement,"n. 广告, 启事, 广告宣传
"
advertiser,"n. 做广告者, 广告客户
"
advertising,"n. 广告业, 广告
a. 广告的
"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditor,"n. 审计员, 听者, 旁听生
"
banking,"n. 银行业务
"
beneficial,"a. 有益的, 受益的
"
billion,"num. 十亿, 十亿个"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
bullish,"a. 似公牛的, 看涨的, 上扬的
"
cash,"n. 现金
vt. 兑现"
clearance,"n. 清除, 间隙
"
commerce,"n. 商业, 商务, 贸易
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
copper,"n. 铜, 警察
"
corporate,"a. 社团的, 合伙的, 公司的
"
corporation,"n. 公司, 合作, 法人团体
"
currency,"n. 货币, 通货, 流通, 通用
"
decrease,"n. 减少, 减少量
v. 减少"
depreciation,"n. 价值减低, 减价, 跌落, 贬低, 折旧
"
depressed,"a. 沮丧的, 降低的
"
dime,n. 10分硬币(美、加)
duty-free,[经] 免税
economise,"vi.vt. 节约, 避免浪费, 节省
"
economize,"v. 节约, 节省, 有效地利用"
elimination,"n. 除去, 消除, 消灭
"
enlargement,"n. 扩大, 肿大, 肥大, 增大, 放大的照片, 放大, 扩建部分, 增补物, 扩展
"
exception,"n. 例外, 除外, 异议
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
financier,"n. 财政家, 金融家
vi. 从事欺骗性金融活动, 欺骗"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
imbalance,"n. 不平衡, 不均衡
"
instalment,"n. 就职, 装设, 分期付款"
installment,"n. 就职, 装设, 分期付款
"
insured,n. 被保险人
investment,"n. 投资
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
jointly,"adv. 共同地, 连带地"
juicy,"a. 多汁液的, 生动的, 多水分的"
liberalism,n. 自由主义
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
management,"n. 经营, 支配, 管理
"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
monopoly,"n. 垄断, 专卖权, 独占事业
"
overdraft,"n. 透支, 透支额, 气流, 过度通风
"
ownership,"n. 所有权, 物主身份
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
patron,"n. 赞助人, 顾客, 保护人
"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
profitability,"n. 收益性, 利益率
"
proprietor,"n. 所有者
"
protection,"n. 保护, 防卫, 贸易保护制度
"
protective,"a. 给予保护的, 保护的
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
reduction,"n. 减少, 缩影, 变化
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
requirement,"n. 需求, 必要条件, 要求
"
revaluation,"n. 再评价
"
savings,"n. 储蓄, 存款
"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
self-employed, 自营；个体经营的
shareholder,"n. 股东
"
shipment,"n. 装船, 出货
"
shipping,"n. 装运, 航行, 船舶, 船舶吨数
"
shortage,"n. 不足, 缺乏
"
skyrocket,"vi. 飞涨, 突升
n. 焰火"
slogan,"n. 呐喊声, 标语, 口号"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
speculative,"a. 思索性的, 投机的, 推测的
"
speculator,"n. 投机者, 投机商人, 思索者
"
statement,"n. 陈述, 指令, 声明
"
understatement,"n. 软弱无力的陈述, 克制的说法
"
sterling,"n. 英国货币, 标准纯银
a. 英国货币的, 标准纯银的, 含标准成分的"
stockholder,"n. 股东
"
subtraction,"n. 减少
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
taxation,"n. 课税, 征税, 抽税, 税款, 估定的税额
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
tourism,"n. 观光业, 游览
"
trademark,"n. 商标
"
uncooperative,"a. 不合作的, 不配合的, 执拗的"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
upward,"a. 向上的
adv. 以上"
upwards,"adv. 以上, 向上"
vendor,"n. 小贩, 卖主, 自动售货机
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
voucher,"n. 证人, 保证人, 证明者, 凭证, 凭单
vt. 证实...的可靠性"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
abound,"vi. 大量存在, 富于, 充满"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assess,"vt. 估定, 对...征税, 评定
"
assessable,"a. 可估价的, 可征税的, 可估计的
"
assessment,"n. 评估, 估定, 评定的款额
"
barren,"a. 不育的, 贫瘠的
n. 荒地"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
binding,"n. 装订
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
recombine,"vt. 再结合, 重组"
combination,"n. 组合, 合并, 联合
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
cooperative,a. 合作的；合作社的
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
detach,"vt. 使分离, 分遣
"
detached,"a. 超然的, 分离的, 冷淡的
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
excessively,"adv. 过多, 极度, 过度, 过分"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploitation,"n. 开发, 开采, 剥削
"
unexploited,"a. 未被利用的,未经开发的"
explore,"v. 探险, 探测, 探究"
exploration,"n. 探险, 踏勘, 探测
"
explorer,"n. 探险家, 探测者, 勘探器
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extended,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
"
facility,"n. 容易, 灵巧, 设备
"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
forgery,"n. 伪造, 伪造罪, 伪造物
"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
preindustrial,"a. 未工业化的, 工业化前的"
industrialism,"n. 工业主义, 产业主义
"
industrialise,vi.vt. (使)工业化
industrialize,"vt. 使工业化
vi. 实现工业化"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspector,"n. 检查员, 巡视员
"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
leakage,"n. 漏, 漏出物, 泄漏
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
machinery,"n. 机器, 机械装置, 机构
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manipulation,"n. 操作, 处理
"
manipulative,"a. 处理的, 巧妙处理的, 操纵的"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
manufacturer,"n. 制造业者, 厂商
"
manufacturing,"n. 制造业
a. 制造业的"
mechanic,"n. 机械工, 技工
a. 手工的"
mechanics,"n. 机械学, 结构, 力学
"
mechanics,"n. 机械学, 结构, 力学
"
mechanise,"vt. 使机械化, 用机器"
mechanize,"vt. 使机械化, 用机械装置, 机动化
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
output,"n. 输出, 产品, 产量
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
permission,"n. 许可, 允许
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
product,"n. 产品, 结果, 乘积
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productively,adv. 有结果地；有成果地
productivity,"n. 生产力
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
proportionately,"adv. 成比例地, 相称地"
disproportionate,a. 不成比例的
ratio,"n. 比, 比率
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refinement,"n. 精致, 高尚, 精巧
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
sufficient,"a. 充分的, 足够的
"
sufficiently,"adv. 足够, 充分"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
surmount,"vt. 战胜, 超越, 克服"
surpass,"vt. 超越, 凌驾, 胜过"
unsurpassed,"a. 未被超越的, 非常卓越的"
thrash,"vt. 打, 使逆行, 胜过, 推敲, 鞭打
vi. 打谷, 痛打, 剧烈扭动, 逆行
n. 打谷, (划水)鞭状动作"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
agricultural,"a. 农业的
"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
almighty,"a. 万能的, 全能的"
aluminum,"n. 铝
"
aluminium,"n. 铝
a. 铝的"
ammonia,"n. 氨水, 阿摩尼亚
"
aperture,"n. 孔, 缝隙, 孔径
"
automate,"vt.vi. (使)自动化
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automatically,"adv. 自动地, 机械地"
automation,"n. 自动化, 自动操作
"
automobile,"n. 汽车
"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
barn,"n. 谷仓
"
baron,"n. 男爵
"
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
booth,"n. 亭, 摊棚
"
builder,"n. 建立者
"
bulldozer,"n. 推土机
"
by-product, 副产品，副产物
cargo,"n. 货物
"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
checklist,"n. 清单, (美)选举人名单, 名册, 目录册"
checkout,"n. 结帐台
"
clamp,"n. 夹钳
vt. 夹紧, 强加"
clay,"n. 泥土, 肉体, 黏土
"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
crate,"n. 板条箱, 装货箱
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
disembark,"v. (使)上岸, (使)登陆"
drainage,"n. 排水
"
drama,"n. 戏剧, 戏剧艺术"
dramatist,n. 剧作家
dramatize,"vt. 改编成戏剧, 编写剧本
vi. 戏剧化"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
dynamo,"n. 发电机
"
elasticity,"n. 弹力, 弹性
"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
engineering,"n. 工程学, 工程, 操纵
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
farming,"n. 农业, 耕作"
farmyard,n. 农家庭院
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
fastening,"n. 紧固件, 系结物"
fatten,"vi. 养肥
vt. 使肥胖"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
grassland,"n. 牧草地, 草原"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
grinder,"n. 推磨的人, 研磨者
"
groundwork,"n. 地基, 基础, 根据"
growth,"n. 生长, 栽培, 增长
"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
headquarters,"n. 总部, 司令部, 总部人员
"
hectare,"n. 公顷
"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
hunter,"n. 猎人, 猎犬, 追求者"
immeasurable,"a. 不可测量的, 无限的, 广大无边的"
infertile,"a. 不肥沃的, 不毛的, 不结果实的"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
irrigation,"n. 灌溉, 冲洗
"
kit,"n. 装备, 工具箱, 成套工具
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour-intensive,"[经] 劳动密集的, 使用大量劳力的"
livestock,"n. 家畜
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
logging,"n. (木材)采运作业, (事物状况的)记录
"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
meadow,"n. 草地, 牧场"
mechanical,"a. 机械的, 机械性的, 力学的
"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
modernize,"vi. 现代化
vt. 使现代化"
modernise,"vt.vi. (使)现代化, (使)适应现代需要
vi. 用现代方法"
modernization,n. 现代化
