nursery,"n. 托儿所, 苗圃, 温床
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
leakage,"n. 漏, 漏出物, 泄漏
"
primacy,"n. 第一, 首位, 卓越"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
spouse,n. 配偶
dearth,"n. 缺乏, 粮食不足, 饥馑"
diagnosis,"n. 诊断
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
mainland,"n. 大陆, 本土
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
lawful,"a. 法律许可的, 守法的, 合法的
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
network,"n. 网络, 广播网, 网状物
"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
convenient,"a. 方便的, 合宜的
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
explanation,"n. 解释, 说明, 辩解, 表明
"
explanatory,"a. 说明的, 解释的, 辩明的
"
richness,"n. 富裕, 丰富, 肥沃"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
naturalistic,"a. 自然的, 自然主义的"
climate,"n. 气候, 社会趋势, 气候区
"
tiny,"a. 很少的, 微小的"
excite,"vt. 刺激, 使兴奋, 激励"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
shortly,"adv. 不久, 简短, 唐突地"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desirable,"a. 令人想望的, 可取的"
birth,"n. 出生, 起源
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
prewar,"a. 战前的
adv. 在战前"
seriously,"adv. 严肃地, 认真地, 严重地"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
environmental,"a. 周围的, 环境的
"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
sigh,"n. 叹息
vi. 叹息, 渴望
vt. 叹息着说"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
indeed,"adv. 的确, 实在, 真正地, 甚至"
policy,"n. 政策, 方针, 策略, 保险单
"
introduction,"n. 介绍, 传入, 采用, 初步"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
thoughtful,"a. 深思的, 体贴的"
unthinkable,"a. 不能考虑的, 不能想像的, 想像不到的, 不合理的"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
cite,"vt. 引用, 引证, 表彰
"
widely,adv. 广泛地
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
sadness,"n. 悲哀, 悲伤"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
tourism,"n. 观光业, 游览
"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
cash,"n. 现金
vt. 兑现"
technology,"n. 技术, 工业技术, 术语
"
technologist,"n. 工艺师, 技术员
"
traditional,"a. 传统的, 惯例的
"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
reality,"n. 实在, 事实, 实体, 逼真
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
erase,"vt. 抹去, 擦掉
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
preparation,"n. 准备, 预备, 预习
"
unprepared,"a. 无准备的, 即席的, 不期而遇的"
dirt,"n. 污垢, 泥土
"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
apartment,"n. 房间, 公寓"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
publicly,"adv. 公然地, 以公众名义"
strongly,"adv. 强有力地, 坚强地, 激烈地"
amount,"n. 总数, 总额
vi. 总计, 等同"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
imagination,"n. 想像, 听觉, 想像力
"
imaginative,"a. 想像的, 虚构的"
unimaginable,"a. 不能想象的, 不可思议的"
imaginary,"a. 想像的, 虚构的, 假想的"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
helpless,"a. 无助的, 无能为力的, 无依无靠的"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
create,"vt. 创造, 建造, 引起, 任命"
creation,"n. 创造, 创作物, 发明
"
creativity,"n. 创造力, 创造性"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
error,"n. 错误, 过失, 失误, 误差
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
adviser,"n. 顾问, 劝告者, 指导教师
"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
customary,"a. 习惯的, 惯常的
"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
actual,"a. 真实的, 实际的, 现行的
"
client,"n. 客户, 顾客, 委托人
"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
editorship,"n. 编辑的职位, 编辑工作"
beneath,"prep. 在...下方
adv. 在...下方"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
development,"n. 发展
"
undeveloped,"a. 未充分发育的, 未开发的"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
happiness,"n. 快乐, 幸运, 适当"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
ability,"n. 能力, 才干
"
unable,"a. 不能的, 不会的
"
inability,"n. 无能, 无力"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
centralise,"vt. 形成中心, 把统治权集中于中央, 把...集中起来, 成为...的中心, 集中"
centralisation,n. <主英>=centralization
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
career,"n. 事业, 生涯, 成功
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
disagree,"vi. 不一致, 不适宜
"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
percentage,"n. 百分比, 比率, 部分, 可能性
"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
leadership,"n. 领导能力, 领导阶层"
mislead,vt. 误导
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
campus,"n. 校园, 大学生活"
upward,"a. 向上的
adv. 以上"
worth,"n. 价值, 财产
a. 值...的, 值得的"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
risky,a. 危险的
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
solution,"n. 解决, 解答, 溶液
"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
unlikely,a. 不太可能的
likelihood,"n. 可能, 可能性"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
replace,"vt. 代替, 替换, 放回, 归还
"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
adulthood,"n. 成年
"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
era,"n. 时代, 纪元, 时期"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
battle,"n. 战役
v. 战斗"
graph,"n. 曲线图, 图表, 图形
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attractive,"a. 吸引人的, 有魅力的
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
geology,"n. 地质学, 地质情况"
geological,"a. 地质学的, 地质的"
disappoint,vt. 使失望
disappointment,n. 失望
description,"n. 描述, 说明, 种类
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
origin,"n. 起源, 起因, 出身, 开端
"
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
simplify,"vt. 单一化, 简单化"
encouragement,"n. 鼓励, 激励, 奖励
"
forth,"adv. 往前, 以后, 向外"
formation,"n. 形成, 构造, 编队
"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
ceiling,"n. 天花板
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
seemingly,"adv. 看来似乎, 表面上看来"
responsible,"a. 有责任的, 负责的, 责任重大的
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
mud,"n. 泥, 诽谤
vt. 弄脏"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
weakness,"n. 虚弱, 薄弱, 弱点
"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
vitamin,"n. 维生素
"
carbon,"n. 碳, 副本, 复写纸
"
debt,"n. 债务, 罪过
"
improvement,"n. 进步, 改善, 利用
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
employee,"n. 职员, 员工, 受雇人员
"
employment,"n. 雇用, 职业, 工作
"
unemployment,"n. 失业, 失业人数
"
unemployed,"a. 失业的, 未被利用的
"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
innermost,"a. 内心的, 秘密的, 最深处的"
disappearance,"n. 看不见, 失踪, 消失"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
opportunity,"n. 机会, 时机"
background,"n. 背景, 背景资料
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
possibility,"n. 可能性, 可能的事
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
judgement,"n. 审判, 判决, 判断
"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
patience,"n. 耐性, 忍耐"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
billboard,"n. 广告牌, 布告板
vt. 宣传"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
beneficial,"a. 有益的, 受益的
"
rely,"vi. 信赖, 依赖, 信任"
reliable,"a. 可靠的, 可信赖的
"
reliability,"n. 信度, 可靠性
"
reliant,"a. 依赖的, 信赖的"
somehow,adv. 不知何故
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
exist,"vi. 存在, 生存, 发生"
existence,"n. 存在, 生存
"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
role,"n. 角色, 职责, 任务
"
update,"vt. 更新, 使现代化
n. 更新
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
amaze,vt. 使吃惊
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
item,"n. 项目, 条款, 一则, 项
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
discovery,"n. 发现, 被发现的事物
"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
chapter,"n. 章, 篇, 重要章节
"
affordable,[计] 普及型
visual,"a. 视觉的
"
visualise,"vt. 使可见, 使具体化, 使具形象
vt.vi. 设想, 想象
vi. 显现"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
arrival,"n. 到达, 抵达, 到达者
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
sudden,"n. 突然, 忽然
a. 突然的, 意外的, 快速的"
productivity,"n. 生产力
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
counterproductive,a. 反生产的；使达不到预期目标的
producer,"n. 生产者, 制作者, 制作人
"
data,"pl. 资料, 数据
"
growth,"n. 生长, 栽培, 增长
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
damage,"n. 损害, 伤害
v. 损害"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
teller,"n. 叙述者, 讲故事者, 出纳员
"
downward,a. 向下的
tobacco,"n. 烟草, 香烟
"
opera,n. 歌剧
rocky,"a. 岩石的, 多石的, 像岩石的, 无情的, 摇动的, 摇晃的"
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
afterwards,"adv. 然后, 后来"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
continent,"n. 大陆, 洲
a. 自制的"
response,"n. 反应, 回答, 响应
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
indication,"n. 指示, 象征, 暗示
"
indicative,"a. 指示的, 象征的, 表示...的
"
friendliness,"n. 友谊, 亲切, 亲密"
seasonal,"a. 季节的, 依照季节的, 周期性的
"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
require,"vt. 需要, 命令, 要求
"
outcome,"n. 结果, 出口"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
equip,"vt. 装备, 配备
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
direction,"n. 方向, 指导, 趋势
"
enable,"vt. 使能够
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
evidence,"n. 根据, 证据, 迹象
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
situation,"n. 情形, 境遇, 位置
"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
argument,"n. 争论, 论证, 论据, 自变量
"
reshape,"vt. 改造, 使成新的形状, 打开新局面
vt. 整形
vi. 整形
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
