accuracy,"n. 精确, 正确
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investment,"n. 投资
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
nasty,"a. 污秽的, 下流的, 险恶的"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overwhelming,"a. 压倒性的, 无法抵抗的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
practically,"adv. 几乎, 差不多, 事实上"
previous,"a. 早先的, 前面的, 过急的
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
react,"vi. 起反应, 起作用, 反攻
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
restrain,"vt. 抑制, 阻止, 束缚
"
restraint,"n. 抑制, 克制, 束缚
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
solution,"n. 解决, 解答, 溶液
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
superfluous,"a. 多余的, 过剩的"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
sympathise,"vi. 同情, 表示同情, 同感, 一致, 共鸣, 同意, 赞同, 赞成, 吊唁, 吊慰"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
underestimate,"n. 低估
vt. 低估, 看轻"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
adequate,"a. 适当的, 足够的
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
anniversary,n. 周年纪念
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
attain,"vt. 达到, 获得
vi. 达到"
banquet,n. 宴会
bless,"vt. 祝福, 祈佑, 使神圣化"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
cease,"n. 停止
v. 停止, 终了"
climate,"n. 气候, 社会趋势, 气候区
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
confusion,"n. 混乱, 混淆, 无秩序
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
denounce,"vt. 告发, 抨击, 谴责
"
differentiate,"v. 区别, 区分"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
efficiency,"n. 效率, 效能, 功效
"
efficient,"a. 有效率的, 能干的"
endow,"vt. 捐赠, 捐助, 赋予
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
fiction,"n. 小说, 虚构故事
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
hitherto,"adv. 迄今, 至今"
inclusive,"a. 包含的, 包括的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,"n. 智力, 情报, 信息
"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
investigate,"v. 调查, 审查"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
means,"n. 方法, 手段, 工具, 财产, 收入
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
organization,"n. 组织, 结构, 团体, 体制
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
pray,"v. 祈祷, 恳求, 请"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
prolong,"vt. 延长, 拖延, 拖长
"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
readily,"adv. 迅速地, 轻易地, 乐意地"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
stripe,"n. 斑纹, 条纹
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
transmission,"n. 传输, 传送, 变速器
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
undergo,"vt. 遭受, 经历, 忍受
"
vanish,"vi. 消失, 不见, 成为零"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
accelerate,"v. 加速, 促进"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
allege,"vt. 宣称, 主张, 提出, 断言
"
annoy,"vt. 使恼怒, 骚扰"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
attendance,"n. 出席, 出席的人数, 照料
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
costly,"a. 昂贵的, 奢华的, 费用大的"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
dense,"a. 密集的, 浓厚的"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
dramatic,"a. 戏剧性的, 生动的"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
establishment,"n. 确立, 制定, 设施
"
exert,"vt. 发挥, 运用, 施以影响
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
hardly,"adv. 刚刚, 几乎不, 勉强是"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
illegal,"a. 违法的, 不合规定的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
meantime,"n. 间隔时间, 其时
adv. 其间"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
quantify,"vt. 定量, 用数量表示, 测量"
quantitative,"a. 数量的, 定量的
"
reality,"n. 实在, 事实, 实体, 逼真
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
restrict,"vt. 限制, 限定, 约束
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
simplify,"vt. 单一化, 简单化"
somehow,adv. 不知何故
somewhat,"n. 某物, 几分
adv. 多少, 几分"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
strive,"vi. 努力, 奋斗, 斗争"
supervise,"v. 监督, 管理, 指导"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
underlie,"vt. 位于...之下, 成为...的基础"
underlying,"a. 在下面的
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
adjoin,"v. 邻接, 毗连"
alleviate,"vt. 减轻, 使缓和"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
arrogant,"a. 自大的, 傲慢的"
attitude,"n. 态度, 看法, 姿势
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
barely,adv. 几乎不
blunt,"a. 钝的, 坦率的, 麻痹的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
ceremony,"n. 典礼, 仪式, 礼节
"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
comprise,"vt. 包含, 构成"
congratulate,"vt. 祝贺, 庆贺"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
deny,"v. 否认, 拒绝"
dignity,"n. 尊严, 高贵
"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
eject,"vt. 逐放, 放逐, 喷射
"
enforce,"vt. 强迫, 执行, 坚持
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
futile,"a. 无用的, 琐细的, 不重要的"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
incredible,a. 难以置信的
invisible,"a. 看不见的, 无形的
"
legal,"a. 法律的, 法定的, 合法的
"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
necessitate,"vt. 迫使, 使成为必需, 需要"
necessity,"n. 需要, 必需品, 必然
"
observation,"n. 观察, 注意, 观测, 观察力
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
plentiful,"a. 许多的, 丰富的, 丰饶的"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
promote,"vt. 促进, 晋升, 创办, 推销
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
symptom,"n. 症状, 征候, 征兆
"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
alliance,"n. 联盟, 联合
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
attractive,"a. 吸引人的, 有魅力的
"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
certainty,"n. 确定, 确实的事情
"
clone,"n. 无性系
"
community,"n. 社区, 公众, 共有, 共同体
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
connection,"n. 连接, 关系, 前后关系
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
diligent,"a. 勤勉的, 用功的"
dissolve,"v. 溶解, 解散"
donate,v. 捐赠
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
emphasis,"n. 强调, 加强, 重点, 强语气"
emphasize,"vt. 强调, 加强语气, 着重"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
extraordinary,"a. 非常的, 特别的, 非凡的
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formation,"n. 形成, 构造, 编队
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
harmony,"n. 协调, 和睦, 调和
"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
honourable,"a. 值得尊敬的, 荣耀的, 高贵的
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
incur,"vt. 招致, 蒙受, 遭遇
"
inject,"vt. 注射, 注入, 使入轨
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
legend,"n. 传说, 传奇文学, 图例
"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
monetary,"a. 货币的, 金钱的
"
pact,"n. 契约, 协定, 条约
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
reasonable,"a. 合理的, 明理的, 适当的
"
refusal,"n. 拒绝, 推却, 优先决定权
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
sensation,"n. 感觉, 轰动
"
simulate,"vt. 模拟, 假装, 模仿
"
sophisticated,"a. 复杂的, 久经世故的
"
standpoint,"n. 立场, 观点"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
thorough,"a. 十分的, 彻底的"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
variation,"n. 变更, 变化, 变种, 变奏
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administration,"n. 行政, 管理, 政府机关
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
artificial,"a. 人造的, 假的, 非原地产的
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
barrier,"n. 障碍, 栅栏
"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certify,"v. 证明, 保证"
clothe,"vt. 给...穿衣, 盖上, 赋予"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
compulsory,"a. 被强制的, 强迫的, 义务的
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conquest,"n. 战胜, 征服, 战利品
"
continual,"a. 持续不断的, 继续的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
decade,"n. 十年, 十"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
distil,"vt.vi. 蒸馏, 提取...的精华, 用蒸馏法提取
vi. 滴下, 渗出"
distill,"vt. 蒸馏
vi. 滴下"
drip,"n. 水滴
v. (使)滴下"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
enhance,"vt. 提高, 加强, 增加"
evacuate,"v. 疏散, 撤出, 排泄"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
imaginary,"a. 想像的, 虚构的, 假想的"
imaginative,"a. 想像的, 虚构的"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
injure,"vt. 伤害, 损害, 使受冤屈
"
injury,"n. 伤害, 侮辱
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
legislation,"n. 立法, 法律
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
monopoly,"n. 垄断, 专卖权, 独占事业
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
origin,"n. 起源, 起因, 出身, 开端
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
perfection,"n. 完美, 完成, 极端
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
principle,"n. 原则, 原理, 主义
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
reassure,"vt. 使...安心, 向...再保证
"
refute,"vt. 反驳, 驳斥；驳倒"
repay,"v. 偿还, 报答, 报复"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
simultaneous,"a. 同时的, 同时发生的
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
